,news,category,title,summary,link,date,time,datetime,ID
76,MND: The search for new treatments. A major study will assess if new - and existing - drugs can help people with motor neurone disease.,BBC News - UK,MND: The search for new treatments,A major study will assess if new - and existing - drugs can help people with motor neurone disease.,https://www.bbc.co.uk/news/health-51122498,"(2020, 1, 15)","(17, 1, 26)","Wed, 15 Jan 2020 17:01:26 GMT",7059ddaba0cd9de29aacbc391a5483f3
77,"Harry Dunn: Family 'devastated' by Boris Johnson's extradition comments. Charlotte Charles, Harry's mum, was ""beside herself"" after hearing the news on her birthday.",BBC News - UK,Harry Dunn: Family 'devastated' by Boris Johnson's extradition comments,"Charlotte Charles, Harry's mum, was ""beside herself"" after hearing the news on her birthday.",https://www.bbc.co.uk/news/uk-england-suffolk-51117457,"(2020, 1, 15)","(9, 3, 18)","Wed, 15 Jan 2020 09:03:18 GMT",b126afc03a31a65284df60929b95a930
106,"US and China sign deal to ease trade war. Mr Trump has hailed the deal as a ""transformative"", but the majority of tariffs will remain in place.",BBC News - Business,US and China sign deal to ease trade war,"Mr Trump has hailed the deal as a ""transformative"", but the majority of tariffs will remain in place.",https://www.bbc.co.uk/news/business-51114425,"(2020, 1, 15)","(19, 24, 38)","Wed, 15 Jan 2020 19:24:38 GMT",6d65f0d25b0b84c69f1ba938d1551896
107,US-China trade deal: Winners and losers. Most tariffs will remain in place. So who benefits from the US-China deal?,BBC News - Business,US-China trade deal: Winners and losers,Most tariffs will remain in place. So who benefits from the US-China deal?,https://www.bbc.co.uk/news/business-51025464,"(2020, 1, 15)","(17, 28, 50)","Wed, 15 Jan 2020 17:28:50 GMT",bc34b4dcbe8d4914a02f328fcfc97182
108,Flybe: Airline and rail rivals attack government rescue. British Airways' owner IAG files a complaint to the EU arguing Flybe's rescue breaks state aid rules.,BBC News - Business,Flybe: Airline and rail rivals attack government rescue,British Airways' owner IAG files a complaint to the EU arguing Flybe's rescue breaks state aid rules.,https://www.bbc.co.uk/news/business-51117885,"(2020, 1, 15)","(17, 18, 37)","Wed, 15 Jan 2020 17:18:37 GMT",c28ff58dd92b7523163473419d400bad
109,Greggs picks Just Eat for home deliveries. The High Street food giant chooses its delivery partner as the market for takeaways continues to grow.,BBC News - Business,Greggs picks Just Eat for home deliveries,The High Street food giant chooses its delivery partner as the market for takeaways continues to grow.,https://www.bbc.co.uk/news/business-51118787,"(2020, 1, 15)","(15, 36, 20)","Wed, 15 Jan 2020 15:36:20 GMT",b23d07a0b5bb684bff4ad7a38f251dd9
110,Fall in inflation raises prospects of interest rate cut. Speculation grows that UK interest rates will be cut after inflation slows in December.,BBC News - Business,Fall in inflation raises prospects of interest rate cut,Speculation grows that UK interest rates will be cut after inflation slows in December.,https://www.bbc.co.uk/news/business-51117888,"(2020, 1, 15)","(11, 4, 22)","Wed, 15 Jan 2020 11:04:22 GMT",d35ee29799788f164317d6744c585f30
137,Flybe: Airline and rail rivals attack government rescue. British Airways' owner IAG files a complaint to the EU arguing Flybe's rescue breaks state aid rules.,BBC News - UK Politics,Flybe: Airline and rail rivals attack government rescue,British Airways' owner IAG files a complaint to the EU arguing Flybe's rescue breaks state aid rules.,https://www.bbc.co.uk/news/business-51117885,"(2020, 1, 15)","(17, 18, 37)","Wed, 15 Jan 2020 17:18:37 GMT",c28ff58dd92b7523163473419d400bad
138,"Health secretary hints at end to four-hour A&E target. Matt Hancock tells BBC Radio 5 Live the government should be judged on ""the right target"".",BBC News - UK Politics,Health secretary hints at end to four-hour A&E target,"Matt Hancock tells BBC Radio 5 Live the government should be judged on ""the right target"".",https://www.bbc.co.uk/news/uk-politics-51122799,"(2020, 1, 15)","(15, 20, 9)","Wed, 15 Jan 2020 15:20:09 GMT",0cb1bbb217cacb7bf0e5d62a835225e7
139,Labour leadership: Candidates seek union backing in next phase of contest. Lisa Nandy wins the NUM's backing as the candidates seek endorsements from unions and local parties.,BBC News - UK Politics,Labour leadership: Candidates seek union backing in next phase of contest,Lisa Nandy wins the NUM's backing as the candidates seek endorsements from unions and local parties.,https://www.bbc.co.uk/news/uk-politics-51118975,"(2020, 1, 15)","(19, 56, 36)","Wed, 15 Jan 2020 19:56:36 GMT",3b2dbfa0c91fa3c054a2c46c0b4c3a7d
140,Stormont to get an extra £1bn from Westminster. The money is on top of a further £1bn added to Stormont's budget as a result of UK spending plans.,BBC News - UK Politics,Stormont to get an extra £1bn from Westminster,The money is on top of a further £1bn added to Stormont's budget as a result of UK spending plans.,https://www.bbc.co.uk/news/uk-northern-ireland-51124621,"(2020, 1, 15)","(21, 26, 16)","Wed, 15 Jan 2020 21:26:16 GMT",bda167442c27aca68849e162260b4a7c
141,"Brexit: 31 January gathering in London gets go-ahead. Nigel Farage says the Parliament Square party on 31 January will mark a ""big moment"" in UK history.",BBC News - UK Politics,Brexit: 31 January gathering in London gets go-ahead,"Nigel Farage says the Parliament Square party on 31 January will mark a ""big moment"" in UK history.",https://www.bbc.co.uk/news/uk-politics-51118976,"(2020, 1, 15)","(14, 19, 30)","Wed, 15 Jan 2020 14:19:30 GMT",8b0703ae52627672496d60aababad8c5
208,MND: The search for new treatments. A major study will assess if new - and existing - drugs can help people with motor neurone disease.,BBC News - Health,MND: The search for new treatments,A major study will assess if new - and existing - drugs can help people with motor neurone disease.,https://www.bbc.co.uk/news/health-51122498,"(2020, 1, 15)","(17, 1, 26)","Wed, 15 Jan 2020 17:01:26 GMT",7059ddaba0cd9de29aacbc391a5483f3
209,Warning over warring Great Ormond Street surgeons. A 'fractured' relationship between two doctors is described in hospital board papers.,BBC News - Health,Warning over warring Great Ormond Street surgeons,A 'fractured' relationship between two doctors is described in hospital board papers.,https://www.bbc.co.uk/news/health-51092498,"(2020, 1, 15)","(12, 8, 16)","Wed, 15 Jan 2020 12:08:16 GMT",6155fea789b3e1dfb8458be61c846d2f
210,"Miscarriage can lead to 'long-term post-traumatic stress'. One in six women suffer post-traumatic stress for months after losing a baby, research suggests.",BBC News - Health,Miscarriage can lead to 'long-term post-traumatic stress',"One in six women suffer post-traumatic stress for months after losing a baby, research suggests.",https://www.bbc.co.uk/news/health-51093999,"(2020, 1, 15)","(0, 7, 41)","Wed, 15 Jan 2020 00:07:41 GMT",74f661f179f8c09b1873083fcf9b28bd
211,"Women who had botched operations left with no payouts. Dishonest cosmetic surgeon had no medical insurance to cover patient compensation, says tribunal.",BBC News - Health,Women who had botched operations left with no payouts,"Dishonest cosmetic surgeon had no medical insurance to cover patient compensation, says tribunal.",https://www.bbc.co.uk/news/health-51111236,"(2020, 1, 15)","(0, 6, 53)","Wed, 15 Jan 2020 00:06:53 GMT",7d9a32f35e90a917c15754ed98f6e2f0
212,"Hernia mesh implants used 'with no clinical evidence'. The devices cut into tissue and nerves, leaving some unable to walk, work or care for their children.",BBC News - Health,Hernia mesh implants used 'with no clinical evidence',"The devices cut into tissue and nerves, leaving some unable to walk, work or care for their children.",https://www.bbc.co.uk/news/health-51024974,"(2020, 1, 15)","(0, 8, 36)","Wed, 15 Jan 2020 00:08:36 GMT",324f1b9dd3714daf6bcd8ebea99bd315
229,"Pre-teen girls 'tricked into sex acts on webcams'. Tens of thousands of 11- to 13-year-olds are being tricked into performing sex acts, data suggests.",BBC News - Family & Education,Pre-teen girls 'tricked into sex acts on webcams',"Tens of thousands of 11- to 13-year-olds are being tricked into performing sex acts, data suggests.",https://www.bbc.co.uk/news/education-51052076,"(2020, 1, 15)","(8, 2, 32)","Wed, 15 Jan 2020 08:02:32 GMT",1fc4b12b5d609d69cbb500a6e5ff89a0
230,Student rape reports: The battle to be believed. Women who report violent sexual assaults at university say the perpetrators are getting away with it.,BBC News - Family & Education,Student rape reports: The battle to be believed,Women who report violent sexual assaults at university say the perpetrators are getting away with it.,https://www.bbc.co.uk/news/uk-51073884,"(2020, 1, 15)","(0, 19, 16)","Wed, 15 Jan 2020 00:19:16 GMT",1ea0a71c075475f491b4be1c8effea7d
231,"Sheffield students paid to tackle racist language on campus. The students will be trained to tackle ""subtle but offensive comments"" on campus and in student housing.",BBC News - Family & Education,Sheffield students paid to tackle racist language on campus,"The students will be trained to tackle ""subtle but offensive comments"" on campus and in student housing.",https://www.bbc.co.uk/news/education-51098539,"(2020, 1, 14)","(1, 38, 18)","Tue, 14 Jan 2020 01:38:18 GMT",043d4121f98949800bfd5332c83de874
232,"Cathy Come Home: The TV drama that put homelessness on the map. The producer of the groundbreaking drama Cathy Come Home, Tony Garnett, has died but its legacy continues.",BBC News - Family & Education,Cathy Come Home: The TV drama that put homelessness on the map,"The producer of the groundbreaking drama Cathy Come Home, Tony Garnett, has died but its legacy continues.",https://www.bbc.co.uk/news/uk-51100189,"(2020, 1, 14)","(1, 57, 10)","Tue, 14 Jan 2020 01:57:10 GMT",ba56dca48147c29dd9422d4beab922c7
233,Teachers worry over funding for smaller classes in Wales. What will happen to a £36m fund aimed at cutting infant class sizes in Wales?,BBC News - Family & Education,Teachers worry over funding for smaller classes in Wales,What will happen to a £36m fund aimed at cutting infant class sizes in Wales?,https://www.bbc.co.uk/news/uk-wales-51064850,"(2020, 1, 13)","(13, 54, 30)","Mon, 13 Jan 2020 13:54:30 GMT",7716b7c085e7d718f44081a6944e7c96
251,Climate change: Last decade confirmed as warmest on record. Global data from three agencies also shows that 2019 was the second warmest year since 1850.,BBC News - Science & Environment,Climate change: Last decade confirmed as warmest on record,Global data from three agencies also shows that 2019 was the second warmest year since 1850.,https://www.bbc.co.uk/news/science-environment-51111176,"(2020, 1, 15)","(16, 3, 43)","Wed, 15 Jan 2020 16:03:43 GMT",489951d872685806ea8e948a43a0c360
252,"Neanderthals 'dived in the ocean' for shellfish. Until now, there's been little evidence our evolutionary relatives could swim.",BBC News - Science & Environment,Neanderthals 'dived in the ocean' for shellfish,"Until now, there's been little evidence our evolutionary relatives could swim.",https://www.bbc.co.uk/news/science-environment-51128639,"(2020, 1, 15)","(21, 17, 15)","Wed, 15 Jan 2020 21:17:15 GMT",8f26f698fa93bd14504a931f94932c18
253,"Reconnecting with nature 'triggers' eco-actions. People with access to green spaces are more likely to be more environmentally friendly, study says.",BBC News - Science & Environment,Reconnecting with nature 'triggers' eco-actions,"People with access to green spaces are more likely to be more environmentally friendly, study says.",https://www.bbc.co.uk/news/science-environment-51110546,"(2020, 1, 15)","(8, 29, 25)","Wed, 15 Jan 2020 08:29:25 GMT",2e5d9f8a2b5776bad0be36fd3fe5345e
254,"HS2 could threaten irreplaceable natural habitats, report warns. Wildlife group says rare species could be wiped out by rail link and calls for a ""greener"" approach.",BBC News - Science & Environment,"HS2 could threaten irreplaceable natural habitats, report warns","Wildlife group says rare species could be wiped out by rail link and calls for a ""greener"" approach.",https://www.bbc.co.uk/news/uk-51115637,"(2020, 1, 15)","(12, 3, 25)","Wed, 15 Jan 2020 12:03:25 GMT",b4da5c2d4c99252e973cbdf31662295d
255,"COP26: Climate summit may cost 'several hundred million pounds'. The UK government shows ""lack of clarity"" on funding the COP26 conference in Glasgow this year.",BBC News - Science & Environment,COP26: Climate summit may cost 'several hundred million pounds',"The UK government shows ""lack of clarity"" on funding the COP26 conference in Glasgow this year.",https://www.bbc.co.uk/news/uk-scotland-south-scotland-51112821,"(2020, 1, 15)","(17, 12, 51)","Wed, 15 Jan 2020 17:12:51 GMT",cf43d5066bded219351abdcaa18a3fcc
295,Cookies crumbling as Google phases them out. A study suggests that cookie consent forms are flouting the EU's tough data laws.,BBC News - Technology,Cookies crumbling as Google phases them out,A study suggests that cookie consent forms are flouting the EU's tough data laws.,https://www.bbc.co.uk/news/technology-51106526,"(2020, 1, 15)","(12, 30, 0)","Wed, 15 Jan 2020 12:30:00 GMT",884abe08246844376726c59e272f277d
296,Thousands of porn stars' intimate details 'exposed online'. Cyber-security researchers at vpnMentor say they found an open folder on an adult site's web server.,BBC News - Technology,Thousands of porn stars' intimate details 'exposed online',Cyber-security researchers at vpnMentor say they found an open folder on an adult site's web server.,https://www.bbc.co.uk/news/technology-51119845,"(2020, 1, 15)","(13, 8, 50)","Wed, 15 Jan 2020 13:08:50 GMT",878f65ff97b8777adfcce144190227ac
297,Kashmir blackout eases but restrictions remain. Internet services have been suspended since August - the longest-ever shutdown in a democracy.,BBC News - Technology,Kashmir blackout eases but restrictions remain,Internet services have been suspended since August - the longest-ever shutdown in a democracy.,https://www.bbc.co.uk/news/world-asia-india-51117025,"(2020, 1, 15)","(16, 41, 14)","Wed, 15 Jan 2020 16:41:14 GMT",0be5379100c461c1f87cf6fff0482a3b
298,Trump launches fresh attack on Apple over privacy. The firm rejects claims that it is shielding criminals by refusing to co-operate with investigators.,BBC News - Technology,Trump launches fresh attack on Apple over privacy,The firm rejects claims that it is shielding criminals by refusing to co-operate with investigators.,https://www.bbc.co.uk/news/business-51115645,"(2020, 1, 15)","(2, 30, 23)","Wed, 15 Jan 2020 02:30:23 GMT",4f3c1dfc74a9f4da28b271462e8cc68c
299,Google's announced timeline for new privacy policy. The firm unveiled a timeline for new privacy rules that will limit third-party access to user data.,BBC News - Technology,Google's announced timeline for new privacy policy,The firm unveiled a timeline for new privacy rules that will limit third-party access to user data.,https://www.bbc.co.uk/news/technology-51115315,"(2020, 1, 15)","(0, 29, 7)","Wed, 15 Jan 2020 00:29:07 GMT",7fb5456654bf0b925f8c517cb961bcb4
323,James Bond's greatest hits - and biggest misses. Billie Eilish is following in the footsteps of some classic Bond themes (and some stinkers).,BBC News - Entertainment & Arts,James Bond's greatest hits - and biggest misses,Billie Eilish is following in the footsteps of some classic Bond themes (and some stinkers).,https://www.bbc.co.uk/news/entertainment-arts-51118593,"(2020, 1, 15)","(13, 47, 10)","Wed, 15 Jan 2020 13:47:10 GMT",b10e055fbb52bc696883245518c45223
324,Jay-Z sues on behalf of Mississippi prisoners 'in peril'. The rapper takes up the cause of 29 inmates after five men died in the state's prisons in one week.,BBC News - Entertainment & Arts,Jay-Z sues on behalf of Mississippi prisoners 'in peril',The rapper takes up the cause of 29 inmates after five men died in the state's prisons in one week.,https://www.bbc.co.uk/news/entertainment-arts-51126128,"(2020, 1, 15)","(16, 54, 6)","Wed, 15 Jan 2020 16:54:06 GMT",104c24099f404875be31ca035ebaf763
325,"T. Rex, Whitney and The Notorious B.I.G. to join Rock & Roll Hall of Fame. Whitney Houston, The Notorious B.I.G. and two classic British acts will be honoured in May.",BBC News - Entertainment & Arts,"T. Rex, Whitney and The Notorious B.I.G. to join Rock & Roll Hall of Fame","Whitney Houston, The Notorious B.I.G. and two classic British acts will be honoured in May.",https://www.bbc.co.uk/news/entertainment-arts-51122043,"(2020, 1, 15)","(17, 38, 26)","Wed, 15 Jan 2020 17:38:26 GMT",885083cf06fc6570f950a4d3ea5ca505
326,"Stan Kirsch: Highlander and Friends actor dies aged 51. The ""beloved"" Stan Kirsch appeared in an episode of Friends as Monica's much younger love interest.",BBC News - Entertainment & Arts,Stan Kirsch: Highlander and Friends actor dies aged 51,"The ""beloved"" Stan Kirsch appeared in an episode of Friends as Monica's much younger love interest.",https://www.bbc.co.uk/news/entertainment-arts-51118165,"(2020, 1, 15)","(10, 57, 23)","Wed, 15 Jan 2020 10:57:23 GMT",8e2172782595a064818d9c12459225e9
327,"Deborah James: You, Me and the Big C podcast host 'in cancer-free place'. Deborah James says she has ""no evidence of cancer"" after three years of treatment.",BBC News - Entertainment & Arts,"Deborah James: You, Me and the Big C podcast host 'in cancer-free place'","Deborah James says she has ""no evidence of cancer"" after three years of treatment.",https://www.bbc.co.uk/news/entertainment-arts-51118585,"(2020, 1, 15)","(11, 13, 17)","Wed, 15 Jan 2020 11:13:17 GMT",d453d9e0f3ab0e54af8cf7ada1cd4053
