is_interesting;Spalte1;news;category;title;summary;link;date;time;datetime;ID;;;
x;19;What's behind the fight for Libya?. The oil-rich North African country has been beset by a civil war for nearly a decade.;BBC News - Home;What's behind the fight for Libya?;The oil-rich North African country has been beset by a civil war for nearly a decade.;https://www.bbc.co.uk/news/world-africa-51137009;(2020, 1, 17);(0, 4, 27);Fri, 17 Jan 2020 00:04:27 GMT;13a58d09ef0c7b5a73a2cd6b4e3a2336;;;
x;20;Never mind Transylvania, Dracula was Irish. A dramatic Monaghan deathbed scene and a bloodsucking Derry chieftain suggest Dracula was Irish, analysts say.;BBC News - Home;Never mind Transylvania, Dracula was Irish;A dramatic Monaghan deathbed scene and a bloodsucking Derry chieftain suggest Dracula was Irish, analysts say.;https://www.bbc.co.uk/news/uk-northern-ireland-51053870;(2020, 1, 17);(6, 56, 47);Fri, 17 Jan 2020 06:56:47 GMT;4780639486a00bb0d21054f75c522a03;;;
x;21;Australia floods: Girl, 3, and dog missing for 24 hours found 3km from home. The girl, aged three, was spotted 3.5km from her home in Western Australia's Pilbara region.;BBC News - Home;Australia floods: Girl, 3, and dog missing for 24 hours found 3km from home;The girl, aged three, was spotted 3.5km from her home in Western Australia's Pilbara region.;https://www.bbc.co.uk/news/world-australia-51136663;(2020, 1, 16);(17, 34, 18);Thu, 16 Jan 2020 17:34:18 GMT;b48b260985f0018d8f9f8d1737f4a654;;;
;22;Does your company nurture neurodiverse talent?. Universal Music UK have changed their work culture to be more inclusive to neurodiverse people.;BBC News - Home;Does your company nurture neurodiverse talent?;Universal Music UK have changed their work culture to be more inclusive to neurodiverse people.;https://www.bbc.co.uk/news/uk-51014028;(2020, 1, 17);(0, 7, 9);Fri, 17 Jan 2020 00:07:09 GMT;62716fa04e7645a1fe674e66d07b18a1;;;
;23;My great-granddad, Nelson Mandela, would be 'unhappy' with 2020 South Africa. Nelson Mandela's great-granddaughter says the former President wouldn't be '100% happy' with modern South Africa.;BBC News - Home;My great-granddad, Nelson Mandela, would be 'unhappy' with 2020 South Africa;Nelson Mandela's great-granddaughter says the former President wouldn't be '100% happy' with modern South Africa.;https://www.bbc.co.uk/news/newsbeat-51135174;(2020, 1, 17);(3, 1, 34);Fri, 17 Jan 2020 03:01:34 GMT;567e077a151a28219116e2a007032ccf;;;
;24;Harry and Meghan: How people split time between two countries. Four people share their experiences - good and bad - of having two homes thousands of miles apart.;BBC News - Home;Harry and Meghan: How people split time between two countries;Four people share their experiences - good and bad - of having two homes thousands of miles apart.;https://www.bbc.co.uk/news/uk-51124415;(2020, 1, 17);(0, 17, 48);Fri, 17 Jan 2020 00:17:48 GMT;3ba0049cf232e84ad9bbc01638b4394c;;;
;25;Australian Open 2020: Margaret Court to be 'recognised' - why is she such a divisive figure?. Margaret Court was a quiet champion, unrivalled in sport but shy in public. Now she is at the centre of a polemic set to play out its latest chapter.;BBC News - Home;Australian Open 2020: Margaret Court to be 'recognised' - why is she such a divisive figure?;Margaret Court was a quiet champion, unrivalled in sport but shy in public. Now she is at the centre of a polemic set to play out its latest chapter.;https://www.bbc.co.uk/sport/tennis/51105556;(2020, 1, 17);(0, 1, 59);Fri, 17 Jan 2020 00:01:59 GMT;25a62088a98dcc14c411daa1ee0bad14;;;
;26;Brexit relationship: EU reveals clues ahead of talks with UK. Presentation slides published online give an insight into how the future relationship might pan out.;BBC News - Home;Brexit relationship: EU reveals clues ahead of talks with UK;Presentation slides published online give an insight into how the future relationship might pan out.;https://www.bbc.co.uk/news/world-europe-51133846;(2020, 1, 17);(2, 49, 30);Fri, 17 Jan 2020 02:49:30 GMT;80399de0dc0ed6465f13022726d41b60;;;
x;27;Stroke consultant shortage 'hurtling towards crisis'. Some 48% of hospitals in England, Wales and Northern Ireland do not have the staff they need, figures suggest.;BBC News - Home;Stroke consultant shortage 'hurtling towards crisis';Some 48% of hospitals in England, Wales and Northern Ireland do not have the staff they need, figures suggest.;https://www.bbc.co.uk/news/health-51006764;(2020, 1, 17);(2, 4, 17);Fri, 17 Jan 2020 02:04:17 GMT;9beeefff27ac35cf741ad0e42d54d8bf;;;
;28;US officials ground drones over espionage fears. US officials are reviewing a civilian drone programme because of concerns about Chinese infiltration.;BBC News - Home;US officials ground drones over espionage fears;US officials are reviewing a civilian drone programme because of concerns about Chinese infiltration.;https://www.bbc.co.uk/news/world-us-canada-51100759;(2020, 1, 16);(22, 20, 33);Thu, 16 Jan 2020 22:20:33 GMT;7a29e78099ab2040e760ef9b7a82e7bd;;;
;29;Prohibition: US activists fight for temperance 100 years on. US Prohibition was launched on 17 January 1920. A hundred years later, some activists won't give up.;BBC News - Home;Prohibition: US activists fight for temperance 100 years on;US Prohibition was launched on 17 January 1920. A hundred years later, some activists won't give up.;https://www.bbc.co.uk/news/world-us-canada-51090163;(2020, 1, 16);(21, 52, 30);Thu, 16 Jan 2020 21:52:30 GMT;ed10f92c78f9f9fe717549e91baf4889;;;
;30;"Impeachment trial: Why did Pelosi use so many pens?. A long signature, a dramatic procession, and cries of ""hear ye"" were all part of the impeachment trial.";BBC News - Home;Impeachment trial: Why did Pelosi use so many pens?;"A long signature, a dramatic procession, and cries of ""hear ye"" were all part of the impeachment trial.";https://www.bbc.co.uk/news/world-us-canada-51139740;(2020, 1, 16);(21, 54, 48);Thu, 16 Jan 2020 21:54:48 GMT;8117a904feab3d915edb76ea142bc156;;;
;31;Premier League predictions: Lawro v King Gary star Tom Davis. Mark Lawrenson takes on King Gary star Tom Davis to make predictions for this weekend's Premier League fixtures.;BBC News - Home;Premier League predictions: Lawro v King Gary star Tom Davis;Mark Lawrenson takes on King Gary star Tom Davis to make predictions for this weekend's Premier League fixtures.;https://www.bbc.co.uk/sport/football/51135214;(2020, 1, 16);(18, 28, 37);Thu, 16 Jan 2020 18:28:37 GMT;2af309b3c92391682702170fc9cd2d1b;;;
;32;South Africa's Rabada banned for final Test after Root dismissal celebration. South Africa pace bowler Kagiso Rabada is banned for the final Test of the series against England following his celebration of Joe Root's dismissal in the third Test.;BBC News - Home;South Africa's Rabada banned for final Test after Root dismissal celebration;South Africa pace bowler Kagiso Rabada is banned for the final Test of the series against England following his celebration of Joe Root's dismissal in the third Test.;https://www.bbc.co.uk/sport/cricket/51147671;(2020, 1, 17);(9, 45, 22);Fri, 17 Jan 2020 09:45:22 GMT;d6d9f63dbafd9ff1c9536d585c3a210f;;;
;33;Snooker: Ali Carter overturns referees decision on yellow - but was he right?. Ali Carter appears to miss an attempted safety on the yellow, but then overturns the referee's call of a foul - but was Carter right?;BBC News - Home;Snooker: Ali Carter overturns referees decision on yellow - but was he right?;Ali Carter appears to miss an attempted safety on the yellow, but then overturns the referee's call of a foul - but was Carter right?;https://www.bbc.co.uk/sport/av/snooker/51144291;(2020, 1, 17);(0, 50, 16);Fri, 17 Jan 2020 00:50:16 GMT;31aff64f9d91d2a598dea94a87a15142;;;
;34;What if Liverpool win the Premier League? Fans predict 'unbearable' outcome. Rival football fans talk about how they will feel if, or when, Liverpool win their first Premier League title;BBC News - Home;What if Liverpool win the Premier League? Fans predict 'unbearable' outcome;Rival football fans talk about how they will feel if, or when, Liverpool win their first Premier League title;https://www.bbc.co.uk/sport/av/american-football/51149891;(2020, 1, 17);(11, 27, 55);Fri, 17 Jan 2020 11:27:55 GMT;7a886a5e4a4e94f015253202af9377d4;;;
;35;Saracens face relegation from Premiership over salary rules. Saracens are facing relegation from the Premiership if they are found to have breached the salary cap again.;BBC News - Home;Saracens face relegation from Premiership over salary rules;Saracens are facing relegation from the Premiership if they are found to have breached the salary cap again.;https://www.bbc.co.uk/sport/rugby-union/51143657;(2020, 1, 17);(7, 52, 3);Fri, 17 Jan 2020 07:52:03 GMT;9159c6870f3a9473ed6511f7ad150fa0;;;
x;36;Climate change explained. It's been linked to a year of extremes – from bushfires to torrential rains – but what is it?;BBC News - Home;Climate change explained;It's been linked to a year of extremes – from bushfires to torrential rains – but what is it?;https://www.bbc.co.uk/news/science-environment-51129250;(2020, 1, 16);(5, 0, 26);Thu, 16 Jan 2020 05:00:26 GMT;8c6a9769fe859c0bdf025bfa996eece9;;;
;37;Giant jet engines aim to make our flying greener. How much more efficiency can be wrung out of the jet engine - technology which is over 70 years old?;BBC News - Home;Giant jet engines aim to make our flying greener;How much more efficiency can be wrung out of the jet engine - technology which is over 70 years old?;https://www.bbc.co.uk/news/business-50850242;(2020, 1, 17);(0, 21, 50);Fri, 17 Jan 2020 00:21:50 GMT;b5e5f675624889a616de7e05f81ef12c;;;
;38;Climate change: What can I do about it and other questions. From population to plants, your questions answered about climate change.;BBC News - Home;Climate change: What can I do about it and other questions;From population to plants, your questions answered about climate change.;https://www.bbc.co.uk/news/science-environment-51134254;(2020, 1, 17);(0, 23, 50);Fri, 17 Jan 2020 00:23:50 GMT;d7f98ae50187f23f0db81ea4cee73ba2;;;
;39;Climate change: Citizens' jury prepares to tackle climate change. UK panel will tackle some of the dilemmas around global warming.;BBC News - Home;Climate change: Citizens' jury prepares to tackle climate change;UK panel will tackle some of the dilemmas around global warming.;https://www.bbc.co.uk/news/science-environment-51111796;(2020, 1, 17);(1, 23, 19);Fri, 17 Jan 2020 01:23:19 GMT;09cbd95286a4054106ea706ac08e8f61;;;
;40;Climate change: Should you fly, drive or take the train?. How should you travel to reduce your carbon footprint?;BBC News - Home;Climate change: Should you fly, drive or take the train?;How should you travel to reduce your carbon footprint?;https://www.bbc.co.uk/news/science-environment-49349566;(2019, 8, 23);(23, 37, 3);Fri, 23 Aug 2019 23:37:03 GMT;53bf0c9b9b0d9ba208af31486aab8444;;;
x;41;Facts and figures behind our climate and weather. What can the weather tell us about our changing planet? Ben Rich looks at the latest data in the first of our new monthly series, Climate Check.;BBC News - Home;Facts and figures behind our climate and weather;What can the weather tell us about our changing planet? Ben Rich looks at the latest data in the first of our new monthly series, Climate Check.;https://www.bbc.co.uk/weather/features/51127701;(2020, 1, 15);(19, 23, 34);Wed, 15 Jan 2020 19:23:34 GMT;0c20f0b535828ba9630cfb1fcf7f32b3;;;
;42;What's your diet's carbon footprint?. Check the environmental impact of what you eat and drink.;BBC News - Home;What's your diet's carbon footprint?;Check the environmental impact of what you eat and drink.;https://www.bbc.co.uk/news/science-environment-46459714;(2019, 8, 9);(6, 34, 55);Fri, 09 Aug 2019 06:34:55 GMT;a279e3fa0d124c1359408f34fdfedbdd;;;
;43;BBC launches new climate coverage. The BBC plans a raft of new services and shows examining climate change and the state of our planet.;BBC News - Home;BBC launches new climate coverage;The BBC plans a raft of new services and shows examining climate change and the state of our planet.;https://www.bbc.co.uk/news/world-51104776;(2020, 1, 16);(5, 2, 1);Thu, 16 Jan 2020 05:02:01 GMT;a82a62e9031239ae0eb46a9d349ad063;;;
;44;Night rider: 21 years sleeping on a London bus. When Sunny's asylum application was refused, he took refuge overnight on London's buses - for two decades.;BBC News - Home;Night rider: 21 years sleeping on a London bus;When Sunny's asylum application was refused, he took refuge overnight on London's buses - for two decades.;https://www.bbc.co.uk/news/stories-50459821;(2020, 1, 12);(0, 9, 40);Sun, 12 Jan 2020 00:09:40 GMT;10649228e73bd7702a8b68bc00936660;;;
;45;Five ways music changed in the 2010s. Songs became shorter, melodies became less melodic and Latin music exploded. Here's why.;BBC News - Home;Five ways music changed in the 2010s;Songs became shorter, melodies became less melodic and Latin music exploded. Here's why.;https://www.bbc.co.uk/news/entertainment-arts-51061099;(2020, 1, 11);(1, 21, 40);Sat, 11 Jan 2020 01:21:40 GMT;b51afe8886c1363f43e25a60220f41b8;;;
;46;Reynhard Sinaga: How the Manchester rapist found his victims. For several years, until he was caught in 2017, Reynhard Sinaga preyed on young men enjoying a night out.;BBC News - Home;Reynhard Sinaga: How the Manchester rapist found his victims;For several years, until he was caught in 2017, Reynhard Sinaga preyed on young men enjoying a night out.;https://www.bbc.co.uk/news/uk-50688975;(2020, 1, 6);(17, 45, 11);Mon, 06 Jan 2020 17:45:11 GMT;387c50f10030b6469209b2238e50a5f5;;;
x;47;Iran plane crash: Khamenei defends military in rare address. Ayatollah Khamenei praises the Revolutionary Guard amid anger over the downing of a passenger jet.;BBC News - World;Iran plane crash: Khamenei defends military in rare address;Ayatollah Khamenei praises the Revolutionary Guard amid anger over the downing of a passenger jet.;https://www.bbc.co.uk/news/world-middle-east-51140806;(2020, 1, 17);(11, 17, 33);Fri, 17 Jan 2020 11:17:33 GMT;abbb95d0f895f174374650f6ee6f4442;;;
x;48;Chinese birth rate falls to lowest in seven decades. At the same time, China's population hit 1.4 billion in 2019 - but the gender imbalance remains.;BBC News - World;Chinese birth rate falls to lowest in seven decades;At the same time, China's population hit 1.4 billion in 2019 - but the gender imbalance remains.;https://www.bbc.co.uk/news/world-asia-china-51145251;(2020, 1, 17);(7, 40, 36);Fri, 17 Jan 2020 07:40:36 GMT;5f0a3d4859d3dbd11b7e42de9f3ea574;;;
x;49;Panama: Seven people found dead after suspected exorcism. The victims include a 32-year-old pregnant woman and five of her children, aged one to 11.;BBC News - World;Panama: Seven people found dead after suspected exorcism;The victims include a 32-year-old pregnant woman and five of her children, aged one to 11.;https://www.bbc.co.uk/news/world-latin-america-51144629;(2020, 1, 17);(10, 19, 42);Fri, 17 Jan 2020 10:19:42 GMT;ab762c51667b44d2df014573387168e4;;;
x;50;Australia droughts: ‘Wall of dust’ envelops town. A dust cloud sweeps across a New South Wales town, turning it red in seconds.;BBC News - World;Australia droughts: ‘Wall of dust’ envelops town;A dust cloud sweeps across a New South Wales town, turning it red in seconds.;https://www.bbc.co.uk/news/world-australia-51146501;(2020, 1, 17);(7, 9, 50);Fri, 17 Jan 2020 07:09:50 GMT;49dd4b2d44f037f4bad0b59e1d93a8fb;;;
;51;Andrew Yang's wife says gynaecologist sexually assaulted her. Evelyn Yang is one of 31 women suing a gynaecologist over allegations of sexual assault.;BBC News - World;Andrew Yang's wife says gynaecologist sexually assaulted her;Evelyn Yang is one of 31 women suing a gynaecologist over allegations of sexual assault.;https://www.bbc.co.uk/news/world-us-canada-51146722;(2020, 1, 17);(10, 49, 34);Fri, 17 Jan 2020 10:49:34 GMT;f5a545f5209cdd7679b60165b284f194;;;
;52;"Ayanna Pressley: US congresswoman reveals alopecia diagnosis. Ayanna Pressley says she shared her condition because ""as a Black woman, the personal is political"".";BBC News - World;Ayanna Pressley: US congresswoman reveals alopecia diagnosis;"Ayanna Pressley says she shared her condition because ""as a Black woman, the personal is political"".";https://www.bbc.co.uk/news/world-us-canada-51148851;(2020, 1, 17);(11, 29, 48);Fri, 17 Jan 2020 11:29:48 GMT;8da75337aeb2e5206a318ee8d2114058;;;
;53;"Facebook blocks the Spinner's 'brainwashing' tech. Social network orders the Spinner to stop targeting its users with ""disguised"" ads.";BBC News - World;Facebook blocks the Spinner's 'brainwashing' tech;"Social network orders the Spinner to stop targeting its users with ""disguised"" ads.";https://www.bbc.co.uk/news/technology-51134738;(2020, 1, 17);(8, 39, 1);Fri, 17 Jan 2020 08:39:01 GMT;95f197f0eb9d10507b92bbb4a8f32583;;;
;54;"Eminem criticised for lyric about bomb at Ariana Grande gig. ""What you said was hurtful to so many people,"" fans tell the rapper after hearing his latest lyrics.";BBC News - World;Eminem criticised for lyric about bomb at Ariana Grande gig;"""What you said was hurtful to so many people,"" fans tell the rapper after hearing his latest lyrics.";https://www.bbc.co.uk/news/entertainment-arts-51147007;(2020, 1, 17);(10, 18, 56);Fri, 17 Jan 2020 10:18:56 GMT;04d12cab919215b69fd97f80d2225fb2;;;
x;55;Ukraine PM Honcharuk offers to quit in audiotape furore. PM Honcharuk appears to mock President Zelensky's grasp of economics in a leaked recording.;BBC News - World;Ukraine PM Honcharuk offers to quit in audiotape furore;PM Honcharuk appears to mock President Zelensky's grasp of economics in a leaked recording.;https://www.bbc.co.uk/news/world-europe-51147011;(2020, 1, 17);(10, 14, 4);Fri, 17 Jan 2020 10:14:04 GMT;8f2476ade97467a6c9c39c57bbcf7aaf;;;
;56;China's economic growth hits 30-year low. The world's second largest economy has seen weak domestic demand amid a trade war with the US.;BBC News - World;China's economic growth hits 30-year low;The world's second largest economy has seen weak domestic demand amid a trade war with the US.;https://www.bbc.co.uk/news/business-51144892;(2020, 1, 17);(4, 44, 19);Fri, 17 Jan 2020 04:44:19 GMT;0e93da4394e5fb4ef6f076c6daf3f6be;;;
;57;Trump impeachment: Senators sworn in for historic trial. The articles of impeachment were read aloud on the Senate floor as the trial got under way.;BBC News - World;Trump impeachment: Senators sworn in for historic trial;The articles of impeachment were read aloud on the Senate floor as the trial got under way.;https://www.bbc.co.uk/news/world-us-canada-51140930;(2020, 1, 16);(21, 32, 33);Thu, 16 Jan 2020 21:32:33 GMT;29ac0ee5ba37b96ef2cf62a936cc6bce;;;
;58;Utah condom campaign halted over racy packaging. The US state was to distribute 100,000 condoms for free as part of an HIV-prevention campaign.;BBC News - World;Utah condom campaign halted over racy packaging;The US state was to distribute 100,000 condoms for free as part of an HIV-prevention campaign.;https://www.bbc.co.uk/news/world-us-canada-51143243;(2020, 1, 16);(22, 16, 12);Thu, 16 Jan 2020 22:16:12 GMT;e68777af339692e324760d0f12ef8bfd;;;
;59;"Chinese student Wu Huayan died 'after donations withheld'. More than a million yuan ($144,000; £111,000) was raised for Wu Huyan - but she only saw a fraction.";BBC News - World;Chinese student Wu Huayan died 'after donations withheld';"More than a million yuan ($144,000; £111,000) was raised for Wu Huyan - but she only saw a fraction.";https://www.bbc.co.uk/news/world-asia-china-51131296;(2020, 1, 17);(0, 14, 38);Fri, 17 Jan 2020 00:14:38 GMT;907fcaef9da019ec3d05b626b04789a6;;;
;60;"Why so many pens?... and other impeachment oddities. A long signature, a dramatic procession, and cries of ""hear ye"" were all part of the impeachment trial.";BBC News - World;Why so many pens?... and other impeachment oddities;"A long signature, a dramatic procession, and cries of ""hear ye"" were all part of the impeachment trial.";https://www.bbc.co.uk/news/world-us-canada-51139740;(2020, 1, 16);(21, 54, 48);Thu, 16 Jan 2020 21:54:48 GMT;1f3286c114b4c6e5c7ce9ee1521a80ad;;;
x;61;Fake drugs: How bad is Africa’s counterfeit medicine problem?. Seven African countries are meeting in Togo to tackle the issue of fake drugs.;BBC News - World;Fake drugs: How bad is Africa’s counterfeit medicine problem?;Seven African countries are meeting in Togo to tackle the issue of fake drugs.;https://www.bbc.co.uk/news/world-africa-51122898;(2020, 1, 17);(9, 13, 34);Fri, 17 Jan 2020 09:13:34 GMT;dbadbf093d9a1d6f9d638754725d0841;;;
x;62;Serbia migrants: The man offering heat to people rejected by Europe. A priest tries to ease migrants' winter misery near Hungary's tightly-guarded border.;BBC News - World;Serbia migrants: The man offering heat to people rejected by Europe;A priest tries to ease migrants' winter misery near Hungary's tightly-guarded border.;https://www.bbc.co.uk/news/world-europe-51133848;(2020, 1, 17);(0, 10, 38);Fri, 17 Jan 2020 00:10:38 GMT;1a77df492b70ee3b4d1fe1f26e1d9d25;;;
;63;US officials ground drones over espionage fears. US officials are reviewing a civilian drone programme because of concerns about Chinese infiltration.;BBC News - World;US officials ground drones over espionage fears;US officials are reviewing a civilian drone programme because of concerns about Chinese infiltration.;https://www.bbc.co.uk/news/world-us-canada-51100759;(2020, 1, 16);(22, 20, 33);Thu, 16 Jan 2020 22:20:33 GMT;7a29e78099ab2040e760ef9b7a82e7bd;;;
;64;Prohibition: US activists fight for temperance 100 years on. US Prohibition was launched on 17 January 1920. A hundred years later, some activists won't give up.;BBC News - World;Prohibition: US activists fight for temperance 100 years on;US Prohibition was launched on 17 January 1920. A hundred years later, some activists won't give up.;https://www.bbc.co.uk/news/world-us-canada-51090163;(2020, 1, 16);(21, 52, 30);Thu, 16 Jan 2020 21:52:30 GMT;ed10f92c78f9f9fe717549e91baf4889;;;
