is_interesting;Spalte1;news;category;title;summary;link;date;time;datetime;ID
;10;"I have suffered sexual harassment, says minister Victoria Atkins. Equalities minister Victoria Atkins says ""common sense"" is needed to determine what counts as harassment.";BBC News - Home;I have suffered sexual harassment, says minister Victoria Atkins;"Equalities minister Victoria Atkins says ""common sense"" is needed to determine what counts as harassment.";https://www.bbc.co.uk/news/uk-politics-51152419;(2020, 1, 17);(15, 1, 24);Fri, 17 Jan 2020 15:01:24 GMT;7b49570380cebde70be58c681c5a15e6
;11;Wiggles singer Greg Page has cardiac arrest at bushfire relief show. Greg Page, a founder and original lead singer of the children's group, collapsed in Sydney.;BBC News - Home;Wiggles singer Greg Page has cardiac arrest at bushfire relief show;Greg Page, a founder and original lead singer of the children's group, collapsed in Sydney.;https://www.bbc.co.uk/news/world-australia-51152834;(2020, 1, 17);(20, 6, 42);Fri, 17 Jan 2020 20:06:42 GMT;eca35a0c57e39c2ed254ab4a7e7f25d8
;12;"Ayanna Pressley: US congresswoman reveals alopecia diagnosis. Ayanna Pressley says she shared her condition because ""as a Black woman, the personal is political"".";BBC News - Home;Ayanna Pressley: US congresswoman reveals alopecia diagnosis;"Ayanna Pressley says she shared her condition because ""as a Black woman, the personal is political"".";https://www.bbc.co.uk/news/world-us-canada-51148851;(2020, 1, 17);(11, 29, 48);Fri, 17 Jan 2020 11:29:48 GMT;8da75337aeb2e5206a318ee8d2114058
;13;Range Rover driven into London jewellery shop in robbery. Robbers broke glass display cases with a sledgehammer in the robbery which was captured on CCTV.;BBC News - Home;Range Rover driven into London jewellery shop in robbery;Robbers broke glass display cases with a sledgehammer in the robbery which was captured on CCTV.;https://www.bbc.co.uk/news/uk-england-london-51153089;(2020, 1, 17);(16, 53, 57);Fri, 17 Jan 2020 16:53:57 GMT;6b466c293e20a240d74a3a90421b5952
x;14;Climate change: Can Glasgow go carbon neutral?. As more cities declare climate emergencies, we look at how Glasgow aims to cancel out its carbon footprint.;BBC News - Home;Climate change: Can Glasgow go carbon neutral?;As more cities declare climate emergencies, we look at how Glasgow aims to cancel out its carbon footprint.;https://www.bbc.co.uk/news/science-environment-51141619;(2020, 1, 17);(0, 59, 43);Fri, 17 Jan 2020 00:59:43 GMT;06113c818fdff9e1076d7ce19c60709a
;15;China anger after woman drives into Forbidden City. Social media users ask how a woman could have driven into the former imperial palace in Beijing.;BBC News - Home;China anger after woman drives into Forbidden City;Social media users ask how a woman could have driven into the former imperial palace in Beijing.;https://www.bbc.co.uk/news/world-asia-china-51153862;(2020, 1, 17);(16, 42, 32);Fri, 17 Jan 2020 16:42:32 GMT;558d779e9a13545a690e7186112a38ab
;16;Actor Laurence Fox's Question Time clash over Meghan. The Lewis actor clashed with an audience member over whether press coverage was racist.;BBC News - Home;Actor Laurence Fox's Question Time clash over Meghan;The Lewis actor clashed with an audience member over whether press coverage was racist.;https://www.bbc.co.uk/news/uk-51145321;(2020, 1, 17);(4, 21, 58);Fri, 17 Jan 2020 04:21:58 GMT;0d82e6e773fa57f76d2ee7fda98ba880
;17;Brexit: Big Ben fundraiser given £50,000. Millionaire businessman Arron Banks donates, but MPs question whether the bell can toll on 31 January.;BBC News - Home;Brexit: Big Ben fundraiser given £50,000;Millionaire businessman Arron Banks donates, but MPs question whether the bell can toll on 31 January.;https://www.bbc.co.uk/news/uk-politics-51149531;(2020, 1, 17);(16, 45, 22);Fri, 17 Jan 2020 16:45:22 GMT;ce919caf1b9305a9229d481c8b5bde85
x;18;Three brothers set world records rowing the Atlantic Ocean. The Scottish siblings are the first three brothers to row any ocean and the fastest trio to row the Atlantic.;BBC News - Home;Three brothers set world records rowing the Atlantic Ocean;The Scottish siblings are the first three brothers to row any ocean and the fastest trio to row the Atlantic.;https://www.bbc.co.uk/news/uk-scotland-51155541;(2020, 1, 17);(16, 22, 39);Fri, 17 Jan 2020 16:22:39 GMT;c79b44eb2af455f918baf5d5ba385dab
;19;"Chester's Roman wall collapses after digging work. The council says ""the removal of too much earth"" exposed a section of the Chester wall's foundations.";BBC News - Home;Chester's Roman wall collapses after digging work;"The council says ""the removal of too much earth"" exposed a section of the Chester wall's foundations.";https://www.bbc.co.uk/news/uk-england-merseyside-51152431;(2020, 1, 17);(18, 38, 33);Fri, 17 Jan 2020 18:38:33 GMT;9afd94a32fb2f41a26c4908044b5563a
;20;Mac Miller sounds 'at peace' on posthumous album. Mac Miller fans tell Radio 1 Newsbeat what hearing his last album means to them.;BBC News - Home;Mac Miller sounds 'at peace' on posthumous album;Mac Miller fans tell Radio 1 Newsbeat what hearing his last album means to them.;https://www.bbc.co.uk/news/newsbeat-51132356;(2020, 1, 17);(14, 6, 41);Fri, 17 Jan 2020 14:06:41 GMT;725144e62fd53c9dad84ed5ed802856c
;21;Collector pays UK-record £1m for rare coin. Only six Edward VIII sovereigns were made but it is not just its rarity that fascinates historians.;BBC News - Home;Collector pays UK-record £1m for rare coin;Only six Edward VIII sovereigns were made but it is not just its rarity that fascinates historians.;https://www.bbc.co.uk/news/business-51134884;(2020, 1, 17);(8, 2, 28);Fri, 17 Jan 2020 08:02:28 GMT;1d08b3240e06a5d1947ca57322f8bd8a
;22;Never mind Transylvania, Dracula was Irish. A dramatic Monaghan deathbed scene and a bloodsucking Derry chieftain suggest Dracula was Irish, analysts say.;BBC News - Home;Never mind Transylvania, Dracula was Irish;A dramatic Monaghan deathbed scene and a bloodsucking Derry chieftain suggest Dracula was Irish, analysts say.;https://www.bbc.co.uk/news/uk-northern-ireland-51053870;(2020, 1, 17);(14, 58, 28);Fri, 17 Jan 2020 14:58:28 GMT;4780639486a00bb0d21054f75c522a03
x;23;"Can Microsoft's 'moonshot' carbon goal succeed?. The tech giant admits its ""carbon negative"" goal is ambitious.";BBC News - Home;Can Microsoft's 'moonshot' carbon goal succeed?;"The tech giant admits its ""carbon negative"" goal is ambitious.";https://www.bbc.co.uk/news/technology-51149014;(2020, 1, 17);(18, 39, 46);Fri, 17 Jan 2020 18:39:46 GMT;fa48614986378944380ac155947c3812
;24;Harry and Meghan: How people split time between two countries. Four people share their experiences - good and bad - of having two homes thousands of miles apart.;BBC News - Home;Harry and Meghan: How people split time between two countries;Four people share their experiences - good and bad - of having two homes thousands of miles apart.;https://www.bbc.co.uk/news/uk-51124415;(2020, 1, 17);(0, 17, 48);Fri, 17 Jan 2020 00:17:48 GMT;3ba0049cf232e84ad9bbc01638b4394c
x;25;Australia fires: Is arson to blame?. There has been speculation about how many of the bushfires were caused by arson - what do the figures show?;BBC News - Home;Australia fires: Is arson to blame?;There has been speculation about how many of the bushfires were caused by arson - what do the figures show?;https://www.bbc.co.uk/news/world-51125898;(2020, 1, 17);(15, 53, 50);Fri, 17 Jan 2020 15:53:50 GMT;5371fa52cc4422aa7c6734f04b2b50fa
;26;UFC 246: Conor McGregor v Donald 'Cowboy' Cerrone - all you need to know. Everything you need to know about Conor McGregor's return to the octagon against Donald 'Cowboy' Cerrone at UFC 246 in Las Vegas this weekend.;BBC News - Home;UFC 246: Conor McGregor v Donald 'Cowboy' Cerrone - all you need to know;Everything you need to know about Conor McGregor's return to the octagon against Donald 'Cowboy' Cerrone at UFC 246 in Las Vegas this weekend.;https://www.bbc.co.uk/sport/mixed-martial-arts/51093202;(2020, 1, 17);(12, 1, 5);Fri, 17 Jan 2020 12:01:05 GMT;e0688f5c1fad0625c78f65581a201230
;27;My great-granddad, Nelson Mandela, would be 'unhappy' with 2020 South Africa. Nelson Mandela's great-granddaughter says the former President wouldn't be '100% happy' with modern South Africa.;BBC News - Home;My great-granddad, Nelson Mandela, would be 'unhappy' with 2020 South Africa;Nelson Mandela's great-granddaughter says the former President wouldn't be '100% happy' with modern South Africa.;https://www.bbc.co.uk/news/newsbeat-51135174;(2020, 1, 17);(3, 1, 34);Fri, 17 Jan 2020 03:01:34 GMT;567e077a151a28219116e2a007032ccf
;28;Apple may have to abandon Lightning connector cable. European Parliament members want all tech giants to adopt a single universal charging method.;BBC News - Home;Apple may have to abandon Lightning connector cable;European Parliament members want all tech giants to adopt a single universal charging method.;https://www.bbc.co.uk/news/technology-51137069;(2020, 1, 17);(2, 53, 4);Fri, 17 Jan 2020 02:53:04 GMT;284790ed5f34f9b173c4fa1213e2bfb0
;29;Does your company nurture neurodiverse talent?. Universal Music UK have changed their work culture to be more inclusive to neurodiverse people.;BBC News - Home;Does your company nurture neurodiverse talent?;Universal Music UK have changed their work culture to be more inclusive to neurodiverse people.;https://www.bbc.co.uk/news/uk-51014028;(2020, 1, 17);(0, 7, 9);Fri, 17 Jan 2020 00:07:09 GMT;62716fa04e7645a1fe674e66d07b18a1
;30;The problem with celebrating tennis' most successful player. Margaret Court was a quiet champion, unrivalled in sport but shy in public. Now she is at the centre of a polemic set to play out its latest chapter.;BBC News - Home;The problem with celebrating tennis' most successful player;Margaret Court was a quiet champion, unrivalled in sport but shy in public. Now she is at the centre of a polemic set to play out its latest chapter.;https://www.bbc.co.uk/sport/tennis/51105556;(2020, 1, 17);(0, 1, 59);Fri, 17 Jan 2020 00:01:59 GMT;01ed4160c0609908173d1fa04fc77cf8
x;31;US officials ground drones over espionage fears. US officials are reviewing a civilian drone programme because of concerns about Chinese infiltration.;BBC News - Home;US officials ground drones over espionage fears;US officials are reviewing a civilian drone programme because of concerns about Chinese infiltration.;https://www.bbc.co.uk/news/world-us-canada-51100759;(2020, 1, 16);(22, 20, 33);Thu, 16 Jan 2020 22:20:33 GMT;7a29e78099ab2040e760ef9b7a82e7bd
;32;Pope and Stokes centuries put England on top against South Africa. Ollie Pope scores his first Test century and Ben Stokes 120 to put England in a dominant position on day two of the third Test against South Africa.;BBC News - Home;Pope and Stokes centuries put England on top against South Africa;Ollie Pope scores his first Test century and Ben Stokes 120 to put England in a dominant position on day two of the third Test against South Africa.;https://www.bbc.co.uk/sport/cricket/51147672;(2020, 1, 17);(16, 39, 56);Fri, 17 Jan 2020 16:39:56 GMT;e3d082e952e141d6813abd59c52d5c6a
;33;"‘Why Ollie Pope is the real deal and belongs in Test cricket’ - Agnew column. Ollie Pope's maiden Test century shows he is the ""real deal"" as a Test batsman, says Jonathan Agnew.";BBC News - Home;‘Why Ollie Pope is the real deal and belongs in Test cricket’ - Agnew column;"Ollie Pope's maiden Test century shows he is the ""real deal"" as a Test batsman, says Jonathan Agnew.";https://www.bbc.co.uk/sport/cricket/51147677;(2020, 1, 17);(18, 0, 38);Fri, 17 Jan 2020 18:00:38 GMT;0abd941c560b6b76a44c76d20395c120
;34;Arfield and Defoe see Rangers past Stranraer in Scottish Cup. Rangers begin their Scottish Cup campaign with a routine victory over Stranraer at Ibrox to ease into the fifth round.;BBC News - Home;Arfield and Defoe see Rangers past Stranraer in Scottish Cup;Rangers begin their Scottish Cup campaign with a routine victory over Stranraer at Ibrox to ease into the fifth round.;https://www.bbc.co.uk/sport/football/51058102;(2020, 1, 17);(21, 38, 18);Fri, 17 Jan 2020 21:38:18 GMT;07dc65d05bdc97a4124ee5535359b096
;35;Fulham beat Middlesbrough to go third in Championship. Anthony Knockaert scores the only goal as Fulham beat Middlesbrough to move up to third in the Championship.;BBC News - Home;Fulham beat Middlesbrough to go third in Championship;Anthony Knockaert scores the only goal as Fulham beat Middlesbrough to move up to third in the Championship.;https://www.bbc.co.uk/sport/football/51058095;(2020, 1, 17);(21, 51, 26);Fri, 17 Jan 2020 21:51:26 GMT;4563e93d1a743de62db077154ff57258
;36;Climate change explained. It's been linked to a year of extremes – from bushfires to torrential rains – but what is it?;BBC News - Home;Climate change explained;It's been linked to a year of extremes – from bushfires to torrential rains – but what is it?;https://www.bbc.co.uk/news/science-environment-51129250;(2020, 1, 16);(5, 0, 26);Thu, 16 Jan 2020 05:00:26 GMT;8c6a9769fe859c0bdf025bfa996eece9
x;37;Giant jet engines aim to make our flying greener. How much more efficiency can be wrung out of the jet engine - technology which is over 70 years old?;BBC News - Home;Giant jet engines aim to make our flying greener;How much more efficiency can be wrung out of the jet engine - technology which is over 70 years old?;https://www.bbc.co.uk/news/business-50850242;(2020, 1, 17);(0, 21, 50);Fri, 17 Jan 2020 00:21:50 GMT;b5e5f675624889a616de7e05f81ef12c
;38;Climate change: What can I do about it and other questions. From population to plants, your questions answered about climate change.;BBC News - Home;Climate change: What can I do about it and other questions;From population to plants, your questions answered about climate change.;https://www.bbc.co.uk/news/science-environment-51134254;(2020, 1, 17);(0, 23, 50);Fri, 17 Jan 2020 00:23:50 GMT;d7f98ae50187f23f0db81ea4cee73ba2
;39;Climate change: Citizens' assembly prepares to tackle climate change. UK panel will tackle some of the dilemmas around global warming.;BBC News - Home;Climate change: Citizens' assembly prepares to tackle climate change;UK panel will tackle some of the dilemmas around global warming.;https://www.bbc.co.uk/news/science-environment-51111796;(2020, 1, 17);(1, 23, 19);Fri, 17 Jan 2020 01:23:19 GMT;882c1d32aab9a66386d9c85b8e87a9c8
;40;Climate change: Should you fly, drive or take the train?. How should you travel to reduce your carbon footprint?;BBC News - Home;Climate change: Should you fly, drive or take the train?;How should you travel to reduce your carbon footprint?;https://www.bbc.co.uk/news/science-environment-49349566;(2019, 8, 23);(23, 37, 3);Fri, 23 Aug 2019 23:37:03 GMT;53bf0c9b9b0d9ba208af31486aab8444
x;41;Facts and figures behind our climate and weather. What can the weather tell us about our changing planet? Ben Rich looks at the latest data in the first of our new monthly series, Climate Check.;BBC News - Home;Facts and figures behind our climate and weather;What can the weather tell us about our changing planet? Ben Rich looks at the latest data in the first of our new monthly series, Climate Check.;https://www.bbc.co.uk/weather/features/51127701;(2020, 1, 15);(19, 23, 34);Wed, 15 Jan 2020 19:23:34 GMT;0c20f0b535828ba9630cfb1fcf7f32b3
;42;What's your diet's carbon footprint?. Check the environmental impact of what you eat and drink.;BBC News - Home;What's your diet's carbon footprint?;Check the environmental impact of what you eat and drink.;https://www.bbc.co.uk/news/science-environment-46459714;(2019, 8, 9);(6, 34, 55);Fri, 09 Aug 2019 06:34:55 GMT;a279e3fa0d124c1359408f34fdfedbdd
;43;BBC launches new climate coverage. The BBC plans a raft of new services and shows examining climate change and the state of our planet.;BBC News - Home;BBC launches new climate coverage;The BBC plans a raft of new services and shows examining climate change and the state of our planet.;https://www.bbc.co.uk/news/world-51104776;(2020, 1, 16);(5, 2, 1);Thu, 16 Jan 2020 05:02:01 GMT;a82a62e9031239ae0eb46a9d349ad063
;44;Night rider: 21 years sleeping on a London bus. When Sunny's asylum application was refused, he took refuge overnight on London's buses - for two decades.;BBC News - Home;Night rider: 21 years sleeping on a London bus;When Sunny's asylum application was refused, he took refuge overnight on London's buses - for two decades.;https://www.bbc.co.uk/news/stories-50459821;(2020, 1, 12);(0, 9, 40);Sun, 12 Jan 2020 00:09:40 GMT;10649228e73bd7702a8b68bc00936660
;45;Five ways music changed in the 2010s. Songs became shorter, melodies became less melodic and Latin music exploded. Here's why.;BBC News - Home;Five ways music changed in the 2010s;Songs became shorter, melodies became less melodic and Latin music exploded. Here's why.;https://www.bbc.co.uk/news/entertainment-arts-51061099;(2020, 1, 11);(1, 21, 40);Sat, 11 Jan 2020 01:21:40 GMT;b51afe8886c1363f43e25a60220f41b8
;46;Reynhard Sinaga: How the Manchester rapist found his victims. For several years, until he was caught in 2017, Reynhard Sinaga preyed on young men enjoying a night out.;BBC News - Home;Reynhard Sinaga: How the Manchester rapist found his victims;For several years, until he was caught in 2017, Reynhard Sinaga preyed on young men enjoying a night out.;https://www.bbc.co.uk/news/uk-50688975;(2020, 1, 6);(17, 45, 11);Mon, 06 Jan 2020 17:45:11 GMT;387c50f10030b6469209b2238e50a5f5
x;47;New Chinese virus 'will have infected hundreds'. The virus emerged in December, two people have died and it has been detected in three countries.;BBC News - World;New Chinese virus 'will have infected hundreds';The virus emerged in December, two people have died and it has been detected in three countries.;https://www.bbc.co.uk/news/health-51148303;(2020, 1, 17);(21, 50, 27);Fri, 17 Jan 2020 21:50:27 GMT;39e612824fbd70b00d011c8c2b9286a4
;48;Clinton prosecutor Ken Starr to defend Trump. Former special prosecutors from Bill Clinton's impeachment trial are on the president's team.;BBC News - World;Clinton prosecutor Ken Starr to defend Trump;Former special prosecutors from Bill Clinton's impeachment trial are on the president's team.;https://www.bbc.co.uk/news/world-us-canada-51154812;(2020, 1, 17);(17, 28, 57);Fri, 17 Jan 2020 17:28:57 GMT;4b2829961e5e087a331cabe64b46631d
;49;Iran plane crash: Khamenei defends armed forces in rare address. Ayatollah Khamenei praises the Revolutionary Guard amid anger over the downing of a passenger jet.;BBC News - World;Iran plane crash: Khamenei defends armed forces in rare address;Ayatollah Khamenei praises the Revolutionary Guard amid anger over the downing of a passenger jet.;https://www.bbc.co.uk/news/world-middle-east-51140806;(2020, 1, 17);(17, 8, 26);Fri, 17 Jan 2020 17:08:26 GMT;1069c5f5eb0ee014a24da536b5128dab
;50;Harvey Weinstein case: Jury picked for New York rape trial. After two weeks, lawyers finally choose the 12 jurors for the trial from about 700 candidates.;BBC News - World;Harvey Weinstein case: Jury picked for New York rape trial;After two weeks, lawyers finally choose the 12 jurors for the trial from about 700 candidates.;https://www.bbc.co.uk/news/world-us-canada-51156756;(2020, 1, 17);(20, 36, 27);Fri, 17 Jan 2020 20:36:27 GMT;cbe009522c9169f797c3bd8910d67b70
;51;Brazil's culture minister fired after echoing Goebbels. Roberto Alvim used parts of a speech by Nazi Germany's propaganda chief, sparking outrage.;BBC News - World;Brazil's culture minister fired after echoing Goebbels;Roberto Alvim used parts of a speech by Nazi Germany's propaganda chief, sparking outrage.;https://www.bbc.co.uk/news/world-latin-america-51149224;(2020, 1, 17);(17, 11, 42);Fri, 17 Jan 2020 17:11:42 GMT;ab55d3d13990f2ae1ebe8aaca65f72a7
x;52;Chinese tourists found dead by 1973 Iceland plane crash site. Police in Iceland tell the BBC autopsies will take place next week to find out the cause of death.;BBC News - World;Chinese tourists found dead by 1973 Iceland plane crash site;Police in Iceland tell the BBC autopsies will take place next week to find out the cause of death.;https://www.bbc.co.uk/news/world-europe-51152831;(2020, 1, 17);(17, 38, 32);Fri, 17 Jan 2020 17:38:32 GMT;4fceb80576f3e1c21931a5c7104de744
;53;"Airport guard pulled Native American woman's braids. The agency apologises after the flyer tweeted she was ""humiliated"" by the incident in Minnesota.";BBC News - World;Airport guard pulled Native American woman's braids;"The agency apologises after the flyer tweeted she was ""humiliated"" by the incident in Minnesota.";https://www.bbc.co.uk/news/world-us-canada-51144173;(2020, 1, 17);(19, 45, 23);Fri, 17 Jan 2020 19:45:23 GMT;5555e71bd691a824f13d83eb3a5e4e0b
;54;Wiggles singer Greg Page has cardiac arrest at bushfire relief show. Greg Page, a founder and original lead singer of the children's group, collapsed in Sydney.;BBC News - World;Wiggles singer Greg Page has cardiac arrest at bushfire relief show;Greg Page, a founder and original lead singer of the children's group, collapsed in Sydney.;https://www.bbc.co.uk/news/world-australia-51152834;(2020, 1, 17);(20, 6, 42);Fri, 17 Jan 2020 20:06:42 GMT;eca35a0c57e39c2ed254ab4a7e7f25d8
;55;"Ukraine audiotape row: President rejects PM's offer to quit. President Zelensky gives PM Oleksiy Honcharuk ""a chance"" to stay, despite his reported mockery.";BBC News - World;Ukraine audiotape row: President rejects PM's offer to quit;"President Zelensky gives PM Oleksiy Honcharuk ""a chance"" to stay, despite his reported mockery.";https://www.bbc.co.uk/news/world-europe-51147011;(2020, 1, 17);(18, 54, 18);Fri, 17 Jan 2020 18:54:18 GMT;dab73dfc51321949340125ef1a9e209d
;56;FBI arrests three more members of right wing extremist group 'The Base'. Six suspected white supremacists have been arrested in what appeared to be a co-ordinated operation.;BBC News - World;FBI arrests three more members of right wing extremist group 'The Base';Six suspected white supremacists have been arrested in what appeared to be a co-ordinated operation.;https://www.bbc.co.uk/news/world-us-canada-51144177;(2020, 1, 17);(20, 54, 26);Fri, 17 Jan 2020 20:54:26 GMT;1656218fac7c3468e009482c2f9ed2c3
;57;Portrait of a Lady: Painting found in wall confirmed as stolen Klimt. Portrait of a Lady was missing for 22 years until gardeners cleared ivy from a gallery wall.;BBC News - World;Portrait of a Lady: Painting found in wall confirmed as stolen Klimt;Portrait of a Lady was missing for 22 years until gardeners cleared ivy from a gallery wall.;https://www.bbc.co.uk/news/world-europe-51156682;(2020, 1, 17);(19, 51, 1);Fri, 17 Jan 2020 19:51:01 GMT;f58971b71f27d6f94a9108efdc77f83f
;58;China anger after woman drives into Forbidden City. Social media users ask how a woman could have driven into the former imperial palace in Beijing.;BBC News - World;China anger after woman drives into Forbidden City;Social media users ask how a woman could have driven into the former imperial palace in Beijing.;https://www.bbc.co.uk/news/world-asia-china-51153862;(2020, 1, 17);(16, 42, 32);Fri, 17 Jan 2020 16:42:32 GMT;558d779e9a13545a690e7186112a38ab
;59;"Can Microsoft's 'moonshot' carbon goal succeed?. The tech giant admits its ""carbon negative"" goal is ambitious.";BBC News - World;Can Microsoft's 'moonshot' carbon goal succeed?;"The tech giant admits its ""carbon negative"" goal is ambitious.";https://www.bbc.co.uk/news/technology-51149014;(2020, 1, 17);(18, 39, 46);Fri, 17 Jan 2020 18:39:46 GMT;fa48614986378944380ac155947c3812
;60;Harry Harris: South Koreans bristle at US envoy's moustache. Harry Harris rebukes critics of his facial hair, which reminds some South Koreans of colonial rule.;BBC News - World;Harry Harris: South Koreans bristle at US envoy's moustache;Harry Harris rebukes critics of his facial hair, which reminds some South Koreans of colonial rule.;https://www.bbc.co.uk/news/world-south-asia-51146729;(2020, 1, 17);(15, 56, 51);Fri, 17 Jan 2020 15:56:51 GMT;56a827353122890b9671752d53ca1fd5
;61;"Chinese student Wu Huayan died 'after donations withheld'. More than a million yuan ($144,000; £111,000) was raised for Wu Huyan - but she only saw a fraction.";BBC News - World;Chinese student Wu Huayan died 'after donations withheld';"More than a million yuan ($144,000; £111,000) was raised for Wu Huyan - but she only saw a fraction.";https://www.bbc.co.uk/news/world-asia-china-51131296;(2020, 1, 17);(0, 14, 38);Fri, 17 Jan 2020 00:14:38 GMT;907fcaef9da019ec3d05b626b04789a6
x;62;Fake drugs: How bad is Africa’s counterfeit medicine problem?. Seven African countries are meeting in Togo to tackle the issue of fake drugs.;BBC News - World;Fake drugs: How bad is Africa’s counterfeit medicine problem?;Seven African countries are meeting in Togo to tackle the issue of fake drugs.;https://www.bbc.co.uk/news/world-africa-51122898;(2020, 1, 17);(9, 13, 34);Fri, 17 Jan 2020 09:13:34 GMT;dbadbf093d9a1d6f9d638754725d0841
;63;"Why so many pens?... and other impeachment oddities. A long signature, a dramatic procession, and cries of ""hear ye"" were all part of the impeachment trial.";BBC News - World;Why so many pens?... and other impeachment oddities;"A long signature, a dramatic procession, and cries of ""hear ye"" were all part of the impeachment trial.";https://www.bbc.co.uk/news/world-us-canada-51139740;(2020, 1, 16);(21, 54, 48);Thu, 16 Jan 2020 21:54:48 GMT;1f3286c114b4c6e5c7ce9ee1521a80ad
