,news,category,title,summary,link,date,time,datetime,ID,label
173,Spanish sea foam engulfs streets. Marine foam brought ashore by Storm Gloria floods streets in Tossa de Mar.,['BBC News - Home'],Spanish sea foam engulfs streets,Marine foam brought ashore by Storm Gloria floods streets in Tossa de Mar.,https://www.bbc.co.uk/news/world-51207955,"(2020, 1, 22)","(12, 19, 58)","Wed, 22 Jan 2020 12:19:58 GMT",b458d40b17d34e56eafd0408a71ec9df,8
221,"Coronavirus: UK to monitor flights from China as precaution. The focus will be on flights to Heathrow from Wuhan, the health secretary is to say.","['BBC News - Home', 'BBC News - UK', 'BBC News - Health']",Coronavirus: UK to monitor flights from China as precaution,"The focus will be on flights to Heathrow from Wuhan, the health secretary is to say.",https://www.bbc.co.uk/news/uk-51202216,"(2020, 1, 22)","(13, 13, 13)","Wed, 22 Jan 2020 13:13:13 GMT",dc0009db6f224c90e019c37ac4aaafba,6
236,"Australia PM 'misled public' on fires. Malcolm Turnbull tells the BBC he ""cannot explain"" Scott Morrison's actions during the crisis.",['BBC News - World'],Australia PM 'misled public' on fires,"Malcolm Turnbull tells the BBC he ""cannot explain"" Scott Morrison's actions during the crisis.",https://www.bbc.co.uk/news/world-australia-51202534,"(2020, 1, 22)","(11, 47, 16)","Wed, 22 Jan 2020 11:47:16 GMT",f1f7f41b9e8c524c04d3efd05574f202,8
3,SpaceX completes emergency crew escape manoeuvre. The US company demonstrates how it would rescue astronauts during a failing rocket launch.,['BBC News - Science & Environment'],SpaceX completes emergency crew escape manoeuvre,The US company demonstrates how it would rescue astronauts during a failing rocket launch.,https://www.bbc.co.uk/news/science-environment-51169705,"(2020, 1, 19)","(15, 41, 24)","Sun, 19 Jan 2020 15:41:24 GMT",0415b6e957cce596dc3d937e8ad1b62c,1
11,New solar power source and storage developed. Tie-up of flexible solar film and energy storage aims to take homes and business off-grid.,['BBC News - Science & Environment'],New solar power source and storage developed,Tie-up of flexible solar film and energy storage aims to take homes and business off-grid.,https://www.bbc.co.uk/news/science-environment-50717446,"(2020, 1, 21)","(9, 25, 30)","Tue, 21 Jan 2020 09:25:30 GMT",0bf2fa16adab5bc0a1a25481d193bb6e,2
15,"Human impact on nature 'dates back millions of years'. The impact of humans on nature may have been far greater and longer-lasting than we thought, say scientists.",['BBC News - Science & Environment'],Human impact on nature 'dates back millions of years',"The impact of humans on nature may have been far greater and longer-lasting than we thought, say scientists.",https://www.bbc.co.uk/news/science-environment-51068816,"(2020, 1, 20)","(15, 6, 24)","Mon, 20 Jan 2020 15:06:24 GMT",0ee702c89ed2bdc4223a1ecfb48964fc,11
45,"Davos: Trump decries climate 'prophets of doom' with Thunberg in audience. The US president attacks activists at the World Economic Forum, with Greta Thunberg in the audience.","['BBC News - Business', 'BBC News - Science & Environment']",Davos: Trump decries climate 'prophets of doom' with Thunberg in audience,"The US president attacks activists at the World Economic Forum, with Greta Thunberg in the audience.",https://www.bbc.co.uk/news/world-europe-51189430,"(2020, 1, 21)","(16, 23, 27)","Tue, 21 Jan 2020 16:23:27 GMT",2ff63dd2f3d277f95d8a210518fae29b,3
118,"New 'transformational' code to protect children's privacy online. Future generations will be ""astonished"" to think we did not protect kids, the information commissioner says.","['BBC News - Family & Education', 'BBC News - Technology']",New 'transformational' code to protect children's privacy online,"Future generations will be ""astonished"" to think we did not protect kids, the information commissioner says.",https://www.bbc.co.uk/news/uk-51200232,"(2020, 1, 22)","(0, 48, 34)","Wed, 22 Jan 2020 00:48:34 GMT",7c31c41ce4b798c7b905d897f9bd9074,4
166,"Ozzy Osbourne reveals Parkinson's disease diagnosis. The rock star and his family tell a US TV show he has a ""mild form"" of the condition.",['BBC News - Entertainment & Arts'],Ozzy Osbourne reveals Parkinson's disease diagnosis,"The rock star and his family tell a US TV show he has a ""mild form"" of the condition.",https://www.bbc.co.uk/news/entertainment-arts-51191615,"(2020, 1, 21)","(16, 31, 47)","Tue, 21 Jan 2020 16:31:47 GMT",ae58c7771fbef5773a5851639f835396,1
5,"Kate launches childhood survey to help under-fives. The Duchess of Cambridge meets children in Birmingham to mark the launch of her ""five big questions"".","['BBC News - Home', 'BBC News - UK', 'BBC News - Family & Education']",Kate launches childhood survey to help under-fives,"The Duchess of Cambridge meets children in Birmingham to mark the launch of her ""five big questions"".",https://www.bbc.co.uk/news/uk-51192909,"(2020, 1, 22)","(13, 53, 8)","Wed, 22 Jan 2020 13:53:08 GMT",08d8bdb90bbd750a31365439d7c40046,1
26,"How potatoes and cassava helped Uganda's Museveni shed 30kg. Yoweri Museveni says potatoes, vegetables, and coffee with no sugar, helped him lose weight.",['BBC News - World'],How potatoes and cassava helped Uganda's Museveni shed 30kg,"Yoweri Museveni says potatoes, vegetables, and coffee with no sugar, helped him lose weight.",https://www.bbc.co.uk/news/world-africa-51207204,"(2020, 1, 22)","(13, 51, 1)","Wed, 22 Jan 2020 13:51:01 GMT",1e872d954a46a63da3162fe5f6939ae9,7
0,"What 2020 holds for Scottish politics. After a tumultuous 2019, what does the new year have in prospect for Scottish politics?",['BBC News - UK Politics'],What 2020 holds for Scottish politics,"After a tumultuous 2019, what does the new year have in prospect for Scottish politics?",https://www.bbc.co.uk/news/uk-scotland-scotland-politics-50852115,"(2020, 1, 7)","(0, 55, 44)","Tue, 07 Jan 2020 00:55:44 GMT",005503512f38f130303cb133d656203b,9
3,"Climate change: Can Glasgow go carbon neutral?. As more cities declare climate emergencies, we look at how Glasgow aims to cancel out its carbon footprint.",['BBC News - Science & Environment'],Climate change: Can Glasgow go carbon neutral?,"As more cities declare climate emergencies, we look at how Glasgow aims to cancel out its carbon footprint.",https://www.bbc.co.uk/news/science-environment-51141619,"(2020, 1, 17)","(0, 59, 43)","Fri, 17 Jan 2020 00:59:43 GMT",06113c818fdff9e1076d7ce19c60709a,2
7,"Van Gogh self-portrait is genuine, experts decide. A portrait that has puzzled art experts for decades is finally declared a real Van Gogh.",['BBC News - Entertainment & Arts'],"Van Gogh self-portrait is genuine, experts decide",A portrait that has puzzled art experts for decades is finally declared a real Van Gogh.,https://www.bbc.co.uk/news/entertainment-arts-51188829,"(2020, 1, 21)","(10, 33, 6)","Tue, 21 Jan 2020 10:33:06 GMT",0b99a859dae57b957348e41fa7376367,11
11,"Rise in full-time female workers boosts employment. The number of women in work has grown by 0.5% in the three months to November, the highest rise for a year.","['BBC News - Business', 'BBC News - UK Politics']",Rise in full-time female workers boosts employment,"The number of women in work has grown by 0.5% in the three months to November, the highest rise for a year.",https://www.bbc.co.uk/news/business-51188930,"(2020, 1, 21)","(11, 17, 0)","Tue, 21 Jan 2020 11:17:00 GMT",0c772c64ef904e19e7846bc940cc2c74,0
14,Brexit: Government loses first parliamentary votes since election. Ministers are defeated three times over Brexit legislation - on citizens' rights and court rulings.,['BBC News - UK Politics'],Brexit: Government loses first parliamentary votes since election,Ministers are defeated three times over Brexit legislation - on citizens' rights and court rulings.,https://www.bbc.co.uk/news/uk-politics-51184051,"(2020, 1, 21)","(0, 57, 4)","Tue, 21 Jan 2020 00:57:04 GMT",123c53918eaa815a73e3460f884dc97d,9
16,Davos: Greta Thunberg & Donald Trump clash on climate change. The Swedish climate activist and the US president gave very different speeches at Davos.,"['BBC News - World', 'BBC News - Business', 'BBC News - Science & Environment']",Davos: Greta Thunberg & Donald Trump clash on climate change,The Swedish climate activist and the US president gave very different speeches at Davos.,https://www.bbc.co.uk/news/business-51200508,"(2020, 1, 21)","(20, 41, 5)","Tue, 21 Jan 2020 20:41:05 GMT",135c4d34a4162fc7ade9eb32f894d035,3
8,'Going to Davos is probably reputational suicide'. A founder of the Occupy Wall Street movement says Davos is a chance for activists and elites to forge links.,['BBC News - Business'],'Going to Davos is probably reputational suicide',A founder of the Occupy Wall Street movement says Davos is a chance for activists and elites to forge links.,https://www.bbc.co.uk/news/business-51173671,"(2020, 1, 20)","(12, 30, 5)","Mon, 20 Jan 2020 12:30:05 GMT",102cd605e44ccafdbd4dfea2381d1225,4
13,"Nicola Sturgeon: Wellbeing as important as economic growth. In a speech later, Ms Sturgeon will say Scotland is creating an economy where ""collective wellbeing"" is as fundamental as GDP.",['BBC News - UK Politics'],Nicola Sturgeon: Wellbeing as important as economic growth,"In a speech later, Ms Sturgeon will say Scotland is creating an economy where ""collective wellbeing"" is as fundamental as GDP.",https://www.bbc.co.uk/news/uk-scotland-scotland-politics-51200821,"(2020, 1, 22)","(11, 2, 33)","Wed, 22 Jan 2020 11:02:33 GMT",15ac8043d309313a826397598b1c0b0d,3
6,"Warning over youth career aspiration-reality disconnect. Five times as many want to work in art, entertainment and sport as there are jobs, a study suggests.",['BBC News - Family & Education'],Warning over youth career aspiration-reality disconnect,"Five times as many want to work in art, entertainment and sport as there are jobs, a study suggests.",https://www.bbc.co.uk/news/education-51192450,"(2020, 1, 22)","(1, 21, 10)","Wed, 22 Jan 2020 01:21:10 GMT",0bf5a86cf9aa350cef95c390bdf2a21e,0
13,What's happening today at the World Economic Forum. What's happening today at the World Economic Forum,['BBC News - Business'],What's happening today at the World Economic Forum,What's happening today at the World Economic Forum,https://www.bbc.co.uk/news/business-51188589,"(2020, 1, 21)","(8, 40, 6)","Tue, 21 Jan 2020 08:40:06 GMT",177aac7f39a9dbc807d8524cb4277d4e,3
14,"Family told brain-damaged girl no longer qualifies for NHS-funded care. The home care for a nine-year-old girl with damage to 90% of her brain could be cut, a family is told.",['BBC News - Health'],Family told brain-damaged girl no longer qualifies for NHS-funded care,"The home care for a nine-year-old girl with damage to 90% of her brain could be cut, a family is told.",https://www.bbc.co.uk/news/uk-england-manchester-51196369,"(2020, 1, 21)","(17, 7, 58)","Tue, 21 Jan 2020 17:07:58 GMT",1a174af15c1f669c7f20d6fd6a0bae37,1
24,UK-Africa summit: Wooing Africa after Brexit. Heads of state are meeting in London for a UK-Africa summit ahead of the UK's departure from the EU.,['BBC News - UK Politics'],UK-Africa summit: Wooing Africa after Brexit,Heads of state are meeting in London for a UK-Africa summit ahead of the UK's departure from the EU.,https://www.bbc.co.uk/news/world-africa-51149093,"(2020, 1, 20)","(0, 39, 59)","Mon, 20 Jan 2020 00:39:59 GMT",23b6b4b5aabef2b4803ad2e7dd5f1d7c,5
25,Space mission to reveal 'Truths' about climate change. A UK-led satellite aims to get an absolute measurement of the light reflected off Earth's surface.,"['BBC News - Home', 'BBC News - Science & Environment']",Space mission to reveal 'Truths' about climate change,A UK-led satellite aims to get an absolute measurement of the light reflected off Earth's surface.,https://www.bbc.co.uk/news/science-environment-51197453,"(2020, 1, 22)","(3, 2, 22)","Wed, 22 Jan 2020 03:02:22 GMT",27316dea85c0ec18da91028debd73157,2
2,Amazon warehouse one of Europe's 'most high-tech buildings'. Robots and people work alongside each other in the internet-giant's latest warehouse in Leicestershire.,['BBC News - Technology'],Amazon warehouse one of Europe's 'most high-tech buildings',Robots and people work alongside each other in the internet-giant's latest warehouse in Leicestershire.,https://www.bbc.co.uk/news/uk-england-leicestershire-51153718,"(2020, 1, 19)","(1, 9, 38)","Sun, 19 Jan 2020 01:09:38 GMT",07c25b8519d03fdec64a086c47d8de24,0
13,"Does a milk advert show Harry and Meghan's future?. As the Queen's grandson sells Jersey milk in China, critics call for clarity over royal endorsements.","['BBC News - Home', 'BBC News - UK']",Does a milk advert show Harry and Meghan's future?,"As the Queen's grandson sells Jersey milk in China, critics call for clarity over royal endorsements.",https://www.bbc.co.uk/news/uk-51188894,"(2020, 1, 22)","(10, 59, 42)","Wed, 22 Jan 2020 10:59:42 GMT",1e5f418c51fe246f0e3673ff369ba4ab,12
25,Trump impeachment trial: Five possible twists ahead. Many believe President Trump will be acquitted at the end of this process. But could it yet diverge from the script?,['BBC News - World'],Trump impeachment trial: Five possible twists ahead,Many believe President Trump will be acquitted at the end of this process. But could it yet diverge from the script?,https://www.bbc.co.uk/news/world-us-canada-51181891,"(2020, 1, 21)","(0, 28, 25)","Tue, 21 Jan 2020 00:28:25 GMT",2cda43699eaf9bf41fa182e70a158364,11
43,Can one mile take 10 years off your life?. Is Sir Keir Starmer right that Somers Town in London has life expectancy 10 years below somewhere a mile away?,['BBC News - UK Politics'],Can one mile take 10 years off your life?,Is Sir Keir Starmer right that Somers Town in London has life expectancy 10 years below somewhere a mile away?,https://www.bbc.co.uk/news/51149506,"(2020, 1, 20)","(15, 15, 32)","Mon, 20 Jan 2020 15:15:32 GMT",4230a5caaee447a5b25c87f923fff620,1
44,"Trump Davos speech: 'This is not a time for pessimism'. The US president called for the rejection of ""the perennial prophets of doom"" during his speech.",['BBC News - Science & Environment'],Trump Davos speech: 'This is not a time for pessimism',"The US president called for the rejection of ""the perennial prophets of doom"" during his speech.",https://www.bbc.co.uk/news/world-us-canada-51192740,"(2020, 1, 21)","(11, 59, 35)","Tue, 21 Jan 2020 11:59:35 GMT",462553b198b9943d6f99b4bdf35298e0,3
46,Single-use plastic: China to ban bags and other items. One of the world's biggest users of plastic plans to phase out most single-use items by 2025.,['BBC News - Science & Environment'],Single-use plastic: China to ban bags and other items,One of the world's biggest users of plastic plans to phase out most single-use items by 2025.,https://www.bbc.co.uk/news/world-asia-china-51171491,"(2020, 1, 20)","(16, 28, 54)","Mon, 20 Jan 2020 16:28:54 GMT",46a648efbb66e13fbfef55f4705387e7,2
96,"Davos 2020: An overview of the WEF summit in numbers. BBC News looks at some of the numbers around the 50th World Economic Forum in Davos, Switzerland.",['BBC News - Business'],Davos 2020: An overview of the WEF summit in numbers,"BBC News looks at some of the numbers around the 50th World Economic Forum in Davos, Switzerland.",https://www.bbc.co.uk/news/business-51152481,"(2020, 1, 19)","(23, 57, 58)","Sun, 19 Jan 2020 23:57:58 GMT",7b7f227be5ccd13bc1d766f6d85cea77,3
33,"East Kent hospitals: Baby death parents’ heartbreak over errors. At least seven babies have died since 2016 at one of the largest hospital groups in England, the BBC finds.","['BBC News - Home', 'BBC News - UK', 'BBC News - Health']",East Kent hospitals: Baby death parents’ heartbreak over errors,"At least seven babies have died since 2016 at one of the largest hospital groups in England, the BBC finds.",https://www.bbc.co.uk/news/health-51193332,"(2020, 1, 23)","(7, 53, 56)","Thu, 23 Jan 2020 07:53:56 GMT",304aa081186ad121d04b4196361d998a,0
36,Postpartum psychosis: 'I tried to kill my baby and husband'. Postpartum psychosis prompted new mother Laura to try to crash her car into a wall at speed.,['BBC News - Health'],Postpartum psychosis: 'I tried to kill my baby and husband',Postpartum psychosis prompted new mother Laura to try to crash her car into a wall at speed.,https://www.bbc.co.uk/news/uk-england-derbyshire-51190328,"(2020, 1, 21)","(13, 12, 40)","Tue, 21 Jan 2020 13:12:40 GMT",33d867def3eb721ff9f42ce91c27c287,1
42,Dinosaur extinction: 'Asteroid strike was real culprit'. A team of scientists discounts the idea that large-scale volcanism drove the demise of the dinosaurs.,['BBC News - Science & Environment'],Dinosaur extinction: 'Asteroid strike was real culprit',A team of scientists discounts the idea that large-scale volcanism drove the demise of the dinosaurs.,https://www.bbc.co.uk/news/science-environment-51150001,"(2020, 1, 17)","(12, 50, 7)","Fri, 17 Jan 2020 12:50:07 GMT",4020526c4c1a8b8ba61b83cb60edebc2,11
0,"Look back at the career of Monty Python's Terry Jones. A look back at the life of the Welsh comic actor, writer and director, who has died aged 77.",['BBC News - Entertainment & Arts'],Look back at the career of Monty Python's Terry Jones,"A look back at the life of the Welsh comic actor, writer and director, who has died aged 77.",https://www.bbc.co.uk/news/entertainment-arts-51210332,"(2020, 1, 22)","(14, 14, 33)","Wed, 22 Jan 2020 14:14:33 GMT",02a584f2b221f0c73db84966f12cb14a,12
77,Why you shouldn't ignore your overdraft. Overdrafts are undergoing their biggest change in a generation and it could double your costs.,['BBC News - UK'],Why you shouldn't ignore your overdraft,Overdrafts are undergoing their biggest change in a generation and it could double your costs.,https://www.bbc.co.uk/news/newsbeat-51205914,"(2020, 1, 23)","(2, 9, 25)","Thu, 23 Jan 2020 02:09:25 GMT",681e7a677a04ca8199ffeb5a943eae54,1
4,"Terry Jones: Michael Palin pays tribute to Monty Python star. Sir Michael Palin pays tribute to his Monty Python co-star Terry Jones, who has died aged 77.","['BBC News - UK', 'BBC News - Entertainment & Arts']",Terry Jones: Michael Palin pays tribute to Monty Python star,"Sir Michael Palin pays tribute to his Monty Python co-star Terry Jones, who has died aged 77.",https://www.bbc.co.uk/news/entertainment-arts-51215814,"(2020, 1, 22)","(20, 43, 48)","Wed, 22 Jan 2020 20:43:48 GMT",0b6249abae3e1f099d87698583ae4631,12
9,"Cut meat and dairy intake 'by a fifth', report urges. Taxes may be needed to curb eating meat and dairy in the effort to combat climate change.","['BBC News - Home', 'BBC News - UK', 'BBC News - Science & Environment']","Cut meat and dairy intake 'by a fifth', report urges",Taxes may be needed to curb eating meat and dairy in the effort to combat climate change.,https://www.bbc.co.uk/news/science-environment-51210622,"(2020, 1, 23)","(1, 1, 52)","Thu, 23 Jan 2020 01:01:52 GMT",14463158fa6c2e6b08570826ac7903f8,2
11,Davos Diaries: Day 3. Davos Diaries: Day 3. What's happening on Thurs 23 Jan at Davos 2020.,['BBC News - Business'],Davos Diaries: Day 3,Davos Diaries: Day 3. What's happening on Thurs 23 Jan at Davos 2020.,https://www.bbc.co.uk/news/business-51211560,"(2020, 1, 23)","(0, 30, 9)","Thu, 23 Jan 2020 00:30:09 GMT",160517b322f77f02b5b474df972fc41a,13
189,Australia fires: US crew dead in firefighting plane crash. Three people are dead after a large air tanker went down fighting bushfires in New South Wales.,"['BBC News - Home', 'BBC News - World']",Australia fires: US crew dead in firefighting plane crash,Three people are dead after a large air tanker went down fighting bushfires in New South Wales.,https://www.bbc.co.uk/news/world-australia-51217076,"(2020, 1, 23)","(7, 31, 47)","Thu, 23 Jan 2020 07:31:47 GMT",dc88e2f70be7bf50de5e5f871956c771,8
5,Macron orders Israeli security to 'go outside' at Jerusalem church. French President Emmanuel Macron berates the security for not leaving a Jerusalem basilica.,['BBC News - World'],Macron orders Israeli security to 'go outside' at Jerusalem church,French President Emmanuel Macron berates the security for not leaving a Jerusalem basilica.,https://www.bbc.co.uk/news/world-51214004,"(2020, 1, 22)","(17, 35, 6)","Wed, 22 Jan 2020 17:35:06 GMT",0d754c7c88dec2805b480d6c6f4e97f4,5
57,"Deepfake videos: Can you really believe what you see?. With deepfake technology, it is getting easier to turn yourself into somebody else on screen.","['BBC News - Business', 'BBC News - Technology']",Deepfake videos: Can you really believe what you see?,"With deepfake technology, it is getting easier to turn yourself into somebody else on screen.",https://www.bbc.co.uk/news/business-51199813,"(2020, 1, 22)","(20, 8, 25)","Wed, 22 Jan 2020 20:08:25 GMT",59b080a48acd6b089db0403f6cca3ed5,4
8,Brexit: What is a level playing field?. What are people talking about when they refer to a level playing field and what has it to do with Brexit?,['BBC News - UK Politics'],Brexit: What is a level playing field?,What are people talking about when they refer to a level playing field and what has it to do with Brexit?,https://www.bbc.co.uk/news/51180282,"(2020, 1, 21)","(1, 39, 1)","Tue, 21 Jan 2020 01:39:01 GMT",148b7094acd7d532664f56a797b5f1f0,4
8,Greta Thunberg: US treasury chief attacks activist. Steven Mnuchin tells the activist to study economics after she told investors to exit fossil fuels.,['BBC News - Business'],Greta Thunberg: US treasury chief attacks activist,Steven Mnuchin tells the activist to study economics after she told investors to exit fossil fuels.,https://www.bbc.co.uk/news/business-51219530,"(2020, 1, 23)","(10, 13, 27)","Thu, 23 Jan 2020 10:13:27 GMT",15c03ce4d842c70305b741e7651492f4,3
3,John Bercow: Formal complaint lodged against former Commons Speaker. Accusations against the ex-Speaker by one of his most senior advisors are thought to centre around bullying.,"['BBC News - Home', 'BBC News - UK', 'BBC News - UK Politics']",John Bercow: Formal complaint lodged against former Commons Speaker,Accusations against the ex-Speaker by one of his most senior advisors are thought to centre around bullying.,https://www.bbc.co.uk/news/uk-politics-51220144,"(2020, 1, 23)","(9, 54, 53)","Thu, 23 Jan 2020 09:54:53 GMT",0a91a80107c2c1c73a7a9090f99c591e,4
8,"Two weeks of leave for UK parents who lose a child. The law, which will come into force in April, will be the most generous in the world, ministers say.","['BBC News - Home', 'BBC News - UK', 'BBC News - Business', 'BBC News - UK Politics', 'BBC News - Family & Education']",Two weeks of leave for UK parents who lose a child,"The law, which will come into force in April, will be the most generous in the world, ministers say.",https://www.bbc.co.uk/news/business-51204068,"(2020, 1, 23)","(8, 18, 12)","Thu, 23 Jan 2020 08:18:12 GMT",1cd36ac5a87c8e3b387c8ac429a5bc85,0
73,"Earth's oldest asteroid impact 'may have ended ice age'. The 2.2 billion-year-old asteroid impact may explain the end of an ice age, scientists say.","['BBC News - World', 'BBC News - Science & Environment']",Earth's oldest asteroid impact 'may have ended ice age',"The 2.2 billion-year-old asteroid impact may explain the end of an ice age, scientists say.",https://www.bbc.co.uk/news/world-australia-51201168,"(2020, 1, 22)","(3, 24, 59)","Wed, 22 Jan 2020 03:24:59 GMT",7580c96d05b54d252c9e52228a958804,11
84,"Mental health: How to spot if you are suffering 'burnout'. Nerina Ramlakhan explains the four signs of burnout that people can exhibit, due to stress at work.","['BBC News - World', 'BBC News - UK', 'BBC News - Business', 'BBC News - Health']",Mental health: How to spot if you are suffering 'burnout',"Nerina Ramlakhan explains the four signs of burnout that people can exhibit, due to stress at work.",https://www.bbc.co.uk/news/business-51141219,"(2020, 1, 22)","(0, 15, 58)","Wed, 22 Jan 2020 00:15:58 GMT",83f2f41f48313fffba8904953258d675,0
49,General election 2019: Ten lesser-known MPs to keep an eye on. Here are some of the MPs who could exert influence in the newly elected House of Commons.,['BBC News - UK Politics'],General election 2019: Ten lesser-known MPs to keep an eye on,Here are some of the MPs who could exert influence in the newly elected House of Commons.,https://www.bbc.co.uk/news/election-2019-50786212,"(2019, 12, 15)","(1, 5, 33)","Sun, 15 Dec 2019 01:05:33 GMT",5391b273cd9fc87cb2667ef0ed921fed,9
33,"What coal country makes of impeachment. The view from Americans celebrating Veterans Day in West Virginia, which backed Trump in 2016.",['BBC News - World'],What coal country makes of impeachment,"The view from Americans celebrating Veterans Day in West Virginia, which backed Trump in 2016.",https://www.bbc.co.uk/news/world-us-canada-50355567,"(2019, 11, 12)","(2, 3, 7)","Tue, 12 Nov 2019 02:03:07 GMT",403adfbc72f142d4de584dd5a13d583f,9
35,"Davos 2020: Prince Charles offers stark warning over 'approaching catastrophe'. At the World Economic Forum, he asked: ""Do we want to go down in history as the people who did nothing?""",['BBC News - Science & Environment'],Davos 2020: Prince Charles offers stark warning over 'approaching catastrophe',"At the World Economic Forum, he asked: ""Do we want to go down in history as the people who did nothing?""",https://www.bbc.co.uk/news/world-51215214,"(2020, 1, 22)","(19, 56, 59)","Wed, 22 Jan 2020 19:56:59 GMT",435e1a3c36343b03cb2ad41bdba03b5d,4
10,How could Northern Ireland's finance minister raise money?. Conor Murphy may have to raise an extra £1bn to meet the public services bill.,['BBC News - UK Politics'],How could Northern Ireland's finance minister raise money?,Conor Murphy may have to raise an extra £1bn to meet the public services bill.,https://www.bbc.co.uk/news/uk-northern-ireland-51180631,"(2020, 1, 21)","(12, 1, 16)","Tue, 21 Jan 2020 12:01:16 GMT",21ec4ab81d2ac1b5c447337bd8e3e79a,1
