,news,category,title,summary,link,date,time,datetime,ID
21,What can you use instead of Google and Facebook?. More and more companies are promising privacy online and an alternative to the big internet firms.,BBC News - Home,What can you use instead of Google and Facebook?,More and more companies are promising privacy online and an alternative to the big internet firms.,https://www.bbc.co.uk/news/business-50460712,"(2020, 1, 24)","(0, 31, 24)","Fri, 24 Jan 2020 00:31:24 GMT",9d9c3c6ff1229f476da113adac7d84a9
22,How Top Gear overcame its 'problem phase'. How the BBC Two motoring show turned its fortunes around after a turbulent few years.,BBC News - Home,How Top Gear overcame its 'problem phase',How the BBC Two motoring show turned its fortunes around after a turbulent few years.,https://www.bbc.co.uk/news/entertainment-arts-51137358,"(2020, 1, 24)","(0, 52, 9)","Fri, 24 Jan 2020 00:52:09 GMT",05f038fcdf6d08b4427e95c25fe0206a
24,"Stockton earthquake: How many quakes happen in the UK?. A minor earthquake has hit Teesside, but how serious can such events be?",BBC News - Home,Stockton earthquake: How many quakes happen in the UK?,"A minor earthquake has hit Teesside, but how serious can such events be?",https://www.bbc.co.uk/news/explainers-51221404,"(2020, 1, 23)","(13, 2, 53)","Thu, 23 Jan 2020 13:02:53 GMT",9cd65ac0903abbb5c062f544ad862efd
25,Can wearing masks stop the spread of viruses?. Surgical masks have been used to prevent illness in China for decades.,BBC News - Home,Can wearing masks stop the spread of viruses?,Surgical masks have been used to prevent illness in China for decades.,https://www.bbc.co.uk/news/health-51205344,"(2020, 1, 23)","(1, 8, 13)","Thu, 23 Jan 2020 01:08:13 GMT",5692e260e03328e00794278d24b12445
27,American teenager Gauff stuns Osaka in Melbourne. American teenager Coco Gauff stuns defending champion Naomi Osaka 6-3 6-4 to reach the fourth round of the Australian Open.,BBC News - Home,American teenager Gauff stuns Osaka in Melbourne,American teenager Coco Gauff stuns defending champion Naomi Osaka 6-3 6-4 to reach the fourth round of the Australian Open.,https://www.bbc.co.uk/sport/tennis/51233613,"(2020, 1, 24)","(9, 47, 26)","Fri, 24 Jan 2020 09:47:26 GMT",24d48d2f23d2e7afb0db8e1c3898a331
28,"'I literally can't do that again. That's unprofessional' - Williams suffers earliest Melbourne defeat since 2006. Serena Williams says she made ""far too many errors to be a professional athlete"" as she was knocked out in the Australian Open third round.",BBC News - Home,'I literally can't do that again. That's unprofessional' - Williams suffers earliest Melbourne defeat since 2006,"Serena Williams says she made ""far too many errors to be a professional athlete"" as she was knocked out in the Australian Open third round.",https://www.bbc.co.uk/sport/tennis/51231895,"(2020, 1, 24)","(7, 21, 53)","Fri, 24 Jan 2020 07:21:53 GMT",73513ef6270304181adbbc260bfa512d
29,Late Firmino winner sends Liverpool 16 points clear. Liverpool's march to the Premier League title continues as Roberto Firmino's late winner at Wolves takes them 16 points clear.,BBC News - Home,Late Firmino winner sends Liverpool 16 points clear,Liverpool's march to the Premier League title continues as Roberto Firmino's late winner at Wolves takes them 16 points clear.,https://www.bbc.co.uk/sport/football/51130417,"(2020, 1, 23)","(22, 19, 21)","Thu, 23 Jan 2020 22:19:21 GMT",cfc3ffbf635201b8ae5369d404d24a61
30,"MOTDx FA Cup: Jay1 talks five-a-side with James Maddison & takes on Hot Shots. Reece Parkinson links up with rapper Jay1 to get hyped for the FA Cup fourth round, and hears about Jay’s five-a-side encounter with fellow Coventry kid James Maddison.",BBC News - Home,MOTDx FA Cup: Jay1 talks five-a-side with James Maddison & takes on Hot Shots,"Reece Parkinson links up with rapper Jay1 to get hyped for the FA Cup fourth round, and hears about Jay’s five-a-side encounter with fellow Coventry kid James Maddison.",https://www.bbc.co.uk/sport/av/football/51227584,"(2020, 1, 24)","(6, 27, 17)","Fri, 24 Jan 2020 06:27:17 GMT",c0934d59828ea9d0b1017fdbca01e58f
33,Coronavirus: Chinese embassy in Paris finds woman who 'cheated' checks. The woman boasted about taking medicine to bring her temperature down in order to clear customs.,BBC News - Home,Coronavirus: Chinese embassy in Paris finds woman who 'cheated' checks,The woman boasted about taking medicine to bring her temperature down in order to clear customs.,https://www.bbc.co.uk/news/world-asia-china-51231593,"(2020, 1, 24)","(3, 9, 52)","Fri, 24 Jan 2020 03:09:52 GMT",5fb548eb49a15458db92e4bde5526dcd
34,"China coronavirus: The lessons learned from the Sars outbreak. Almost two decades after Sars, a new mystery virus puts China back in the global spotlight.",BBC News - Home,China coronavirus: The lessons learned from the Sars outbreak,"Almost two decades after Sars, a new mystery virus puts China back in the global spotlight.",https://www.bbc.co.uk/news/world-asia-china-51221394,"(2020, 1, 24)","(0, 45, 57)","Fri, 24 Jan 2020 00:45:57 GMT",e0f3cf63da55ba95162776a3ce734e99
35,Coronavirus: 'I’m terrified… it's way out of control'. Lele should be getting ready for Lunar New Year. Instead she doesn't want to leave her house.,BBC News - Home,Coronavirus: 'I’m terrified… it's way out of control',Lele should be getting ready for Lunar New Year. Instead she doesn't want to leave her house.,https://www.bbc.co.uk/news/newsbeat-51227964,"(2020, 1, 24)","(0, 55, 55)","Fri, 24 Jan 2020 00:55:55 GMT",4626f5b0ec0012210377b8e051e0be3d
37,Coronavirus: How worried should we be?. Hundreds of people people have been infected with a newly-discovered virus.,BBC News - Home,Coronavirus: How worried should we be?,Hundreds of people people have been infected with a newly-discovered virus.,https://www.bbc.co.uk/news/health-51048366,"(2020, 1, 22)","(15, 10, 43)","Wed, 22 Jan 2020 15:10:43 GMT",aa8011e37398a417b5c7b2fc0697909f
38,China coronavirus: Death toll rises as more cities restrict travel. At least 10 cities are limiting journeys in and out as officials say 26 people have died so far.,BBC News - World,China coronavirus: Death toll rises as more cities restrict travel,At least 10 cities are limiting journeys in and out as officials say 26 people have died so far.,https://www.bbc.co.uk/news/world-asia-china-51230011,"(2020, 1, 24)","(10, 6, 10)","Fri, 24 Jan 2020 10:06:10 GMT",53d1f576334874537dc4ec41bb032dd8
40,"Actress Sciorra tells court Weinstein raped her. ""I couldn't fight anymore because he had my hands locked,"" the Sopranos actress tells the trial.",BBC News - World,Actress Sciorra tells court Weinstein raped her,"""I couldn't fight anymore because he had my hands locked,"" the Sopranos actress tells the trial.",https://www.bbc.co.uk/news/world-us-canada-51225608,"(2020, 1, 23)","(21, 8, 43)","Thu, 23 Jan 2020 21:08:43 GMT",d5cc32abfbdd83700f9b6d2608cb8fa9
41,Indonesian needlefish boy: 'A fish jumped out the water and stabbed my neck'. Muhammad Idul tells the BBC the force threw him from his boat before a desperate race to hospital.,BBC News - World,Indonesian needlefish boy: 'A fish jumped out the water and stabbed my neck',Muhammad Idul tells the BBC the force threw him from his boat before a desperate race to hospital.,https://www.bbc.co.uk/news/world-asia-51224468,"(2020, 1, 24)","(3, 57, 52)","Fri, 24 Jan 2020 03:57:52 GMT",774f98922fe23d0d9ca861bcd76f98de
42,"Locusts: UN calls for international help in East Africa. ""Unprecedented"" swarms of desert locusts, the worst in decades, are devouring crops in East Africa.",BBC News - World,Locusts: UN calls for international help in East Africa,"""Unprecedented"" swarms of desert locusts, the worst in decades, are devouring crops in East Africa.",https://www.bbc.co.uk/news/world-africa-51234135,"(2020, 1, 24)","(9, 35, 4)","Fri, 24 Jan 2020 09:35:04 GMT",9079be7ddd96f421bceead64b74614c4
43,American Dirt: Oprah book club pick suffers Latino backlash. A new novel about a family fleeing Mexico for the US spurs a fierce debate over fiction writing.,BBC News - World,American Dirt: Oprah book club pick suffers Latino backlash,A new novel about a family fleeing Mexico for the US spurs a fierce debate over fiction writing.,https://www.bbc.co.uk/news/world-us-canada-51230164,"(2020, 1, 23)","(22, 36, 21)","Thu, 23 Jan 2020 22:36:21 GMT",25584ab1950261e1731517bd0cff9778
44,Storm Gloria: Spain death toll rises to 13 with four missing. Spain's government is to meet in emergency session after the storm carved a swathe of destruction.,BBC News - World,Storm Gloria: Spain death toll rises to 13 with four missing,Spain's government is to meet in emergency session after the storm carved a swathe of destruction.,https://www.bbc.co.uk/news/world-europe-51231064,"(2020, 1, 23)","(23, 15, 17)","Thu, 23 Jan 2020 23:15:17 GMT",c7039eafa1a28aa0f8f734af413ab065
46,Doomsday Clock nears apocalypse over climate and nuclear fears. The symbolic timepiece ticks to 100 seconds from midnight amid climate and nuclear concerns.,BBC News - World,Doomsday Clock nears apocalypse over climate and nuclear fears,The symbolic timepiece ticks to 100 seconds from midnight amid climate and nuclear concerns.,https://www.bbc.co.uk/news/world-us-canada-51213185,"(2020, 1, 23)","(17, 14, 30)","Thu, 23 Jan 2020 17:14:30 GMT",02ba84a09ead20c15ecda114b752908b
47,Coronavirus: Chinese embassy in Paris finds woman who 'cheated' checks. The woman boasted about taking medicine to bring her temperature down in order to clear customs.,BBC News - World,Coronavirus: Chinese embassy in Paris finds woman who 'cheated' checks,The woman boasted about taking medicine to bring her temperature down in order to clear customs.,https://www.bbc.co.uk/news/world-asia-china-51231593,"(2020, 1, 24)","(3, 9, 52)","Fri, 24 Jan 2020 03:09:52 GMT",5fb548eb49a15458db92e4bde5526dcd
48,Jhon Viáfara: Colombia extradites ex-footballer to US on drugs charges. Jhon Viáfara is extradited to Texas accused of being a members of a major drugs cartel.,BBC News - World,Jhon Viáfara: Colombia extradites ex-footballer to US on drugs charges,Jhon Viáfara is extradited to Texas accused of being a members of a major drugs cartel.,https://www.bbc.co.uk/news/world-latin-america-51231759,"(2020, 1, 24)","(4, 24, 59)","Fri, 24 Jan 2020 04:24:59 GMT",a82300c15bc40361ae1c442e860499fd
50,'Birth tourism': US steps up scrutiny of pregnant visa applicants. Pregnant women will be banned from visiting the US if they cannot prove they will not give birth there.,BBC News - World,'Birth tourism': US steps up scrutiny of pregnant visa applicants,Pregnant women will be banned from visiting the US if they cannot prove they will not give birth there.,https://www.bbc.co.uk/news/world-us-canada-51213186,"(2020, 1, 23)","(19, 56, 57)","Thu, 23 Jan 2020 19:56:57 GMT",af86ff38fe947d9cda12a88606f10e80
51,"China coronavirus: The lessons learned from the Sars outbreak. Almost two decades after Sars, a new mystery virus puts China back in the global spotlight.",BBC News - World,China coronavirus: The lessons learned from the Sars outbreak,"Almost two decades after Sars, a new mystery virus puts China back in the global spotlight.",https://www.bbc.co.uk/news/world-asia-china-51221394,"(2020, 1, 24)","(0, 45, 57)","Fri, 24 Jan 2020 00:45:57 GMT",e0f3cf63da55ba95162776a3ce734e99
52,"Iraq after Soleimani: What is the future for US troops?. US forces face a backlash after the killing of a top Iranian commander, says Nafiseh Kohnavard.",BBC News - World,Iraq after Soleimani: What is the future for US troops?,"US forces face a backlash after the killing of a top Iranian commander, says Nafiseh Kohnavard.",https://www.bbc.co.uk/news/world-middle-east-51228954,"(2020, 1, 24)","(9, 54, 44)","Fri, 24 Jan 2020 09:54:44 GMT",b2748150141ea1d87738fa1942dbcdde
55,"Giant koala sand art captures Australian bushfires emotions. Australian artist ""Edward"" channelled his ""raw emotion"" about the bushfires into the artwork.",BBC News - World,Giant koala sand art captures Australian bushfires emotions,"Australian artist ""Edward"" channelled his ""raw emotion"" about the bushfires into the artwork.",https://www.bbc.co.uk/news/world-australia-51217664,"(2020, 1, 24)","(0, 28, 0)","Fri, 24 Jan 2020 00:28:00 GMT",5e9b55a70a53037990d99cec142e7545
57,Coronavirus: Virus fears trigger Shanghai face mask shortage. Customers queue outside a pharmacy in Shanghai to buy face masks in bid to avoid new coronavirus.,BBC News - World,Coronavirus: Virus fears trigger Shanghai face mask shortage,Customers queue outside a pharmacy in Shanghai to buy face masks in bid to avoid new coronavirus.,https://www.bbc.co.uk/news/world-51219365,"(2020, 1, 23)","(12, 14, 26)","Thu, 23 Jan 2020 12:14:26 GMT",c9500ea6a98fa20f66ec02055652b8ad
59,"Storm Gloria: Wind, rain, flooding and snow batter parts of Spain. Hundreds of thousands of people were left without power and at least 13 people were killed.",BBC News - World,"Storm Gloria: Wind, rain, flooding and snow batter parts of Spain",Hundreds of thousands of people were left without power and at least 13 people were killed.,https://www.bbc.co.uk/news/world-51225494,"(2020, 1, 23)","(15, 13, 55)","Thu, 23 Jan 2020 15:13:55 GMT",6598eda84ec6b2c6e1d4f9b88fe2e79e
60,Iguanas falling from trees in Florida. As temperatures drop in Florida more and more iguanas are plummeting to the ground.,BBC News - World,Iguanas falling from trees in Florida,As temperatures drop in Florida more and more iguanas are plummeting to the ground.,https://www.bbc.co.uk/news/world-51230794,"(2020, 1, 23)","(22, 35, 22)","Thu, 23 Jan 2020 22:35:22 GMT",3631521be29da9c188461abf5cc02eff
61,Jean-Paul Gaultier's last fashion show. The French designer has said goodbye to his 50-year runway career in Paris but says he will not stop working.,BBC News - World,Jean-Paul Gaultier's last fashion show,The French designer has said goodbye to his 50-year runway career in Paris but says he will not stop working.,https://www.bbc.co.uk/news/uk-51223914,"(2020, 1, 23)","(12, 35, 43)","Thu, 23 Jan 2020 12:35:43 GMT",850dd2a300a256438f3af642c9a05e73
62,Schiff makes case against Trump before he opens impeachment trial. House impeachment manager Adam Schiff says he will lay out the timeline and facts behind the inquiry,BBC News - World,Schiff makes case against Trump before he opens impeachment trial,House impeachment manager Adam Schiff says he will lay out the timeline and facts behind the inquiry,https://www.bbc.co.uk/news/world-us-canada-51215724,"(2020, 1, 22)","(20, 2, 55)","Wed, 22 Jan 2020 20:02:55 GMT",e3285ab7542f60f39d6d268bd0b0ab10
64,"Legal scholars make case for and against. Experts are debating what the Constitution says about impeachment, in light of the inquiry into President Trump.",BBC News - World,Legal scholars make case for and against,"Experts are debating what the Constitution says about impeachment, in light of the inquiry into President Trump.",https://www.bbc.co.uk/news/world-us-canada-50663128,"(2019, 12, 19)","(9, 54, 41)","Thu, 19 Dec 2019 09:54:41 GMT",78dc6cb0f3a07048d7ea5202a9bba4be
65,Five possible twists in the trial. Many believe President Trump will be acquitted at the end of this process. But could it yet diverge from the script?,BBC News - World,Five possible twists in the trial,Many believe President Trump will be acquitted at the end of this process. But could it yet diverge from the script?,https://www.bbc.co.uk/news/world-us-canada-51181891,"(2020, 1, 21)","(0, 28, 25)","Tue, 21 Jan 2020 00:28:25 GMT",e2559adf1d2f81b122d43471ceb9a133
67,Meet Vyom - India's first robot 'astronaut'. India's space agency has unveiled a robot that will travel to space later this year.,BBC News - World,Meet Vyom - India's first robot 'astronaut',India's space agency has unveiled a robot that will travel to space later this year.,https://www.bbc.co.uk/news/world-asia-india-51220154,"(2020, 1, 23)","(8, 44, 8)","Thu, 23 Jan 2020 08:44:08 GMT",c800f877fd239fa28828c534c42dbc76
70,"What happens when we're too old to be 'useful'?. Can we afford to pay pensions, given the huge demographic challenge of our ageing population?",BBC News - World,What happens when we're too old to be 'useful'?,"Can we afford to pay pensions, given the huge demographic challenge of our ageing population?",https://www.bbc.co.uk/news/business-50673645,"(2020, 1, 22)","(0, 48, 17)","Wed, 22 Jan 2020 00:48:17 GMT",62218c767dc38418f1f0069657866748
71,"Super-rich elites making London 'off-limits'. Moving to London is unaffordable for those from poorer backgrounds, says social mobility report.",BBC News - World,Super-rich elites making London 'off-limits',"Moving to London is unaffordable for those from poorer backgrounds, says social mobility report.",https://www.bbc.co.uk/news/education-51196849,"(2020, 1, 22)","(11, 42, 16)","Wed, 22 Jan 2020 11:42:16 GMT",8aa26c13ca4fa95f4139577d1d673f44
73,"Harry Dunn: Anne Sacoolas extradition request rejected by US. The Home Office says the decision over the extradition of Anne Sacoolas is a ""denial of justice"".",BBC News - UK,Harry Dunn: Anne Sacoolas extradition request rejected by US,"The Home Office says the decision over the extradition of Anne Sacoolas is a ""denial of justice"".",https://www.bbc.co.uk/news/uk-england-northamptonshire-51228262,"(2020, 1, 24)","(8, 0, 31)","Fri, 24 Jan 2020 08:00:31 GMT",17acf4e461fad27ea18cf6fed3a23699
74,"HS2 risks misjudged from the start, says watchdog. No-one took full account of how complex the project was going to be, says the spending watchdog.",BBC News - UK,"HS2 risks misjudged from the start, says watchdog","No-one took full account of how complex the project was going to be, says the spending watchdog.",https://www.bbc.co.uk/news/business-51223101,"(2020, 1, 24)","(9, 36, 59)","Fri, 24 Jan 2020 09:36:59 GMT",4373803de7b40e20173488a1d2d733d5
76,"Rolls-Royce plans mini nuclear reactors by 2029. The firm says it plans to build up to 15 of the mini reactors, which can be delivered by a lorry.",BBC News - UK,Rolls-Royce plans mini nuclear reactors by 2029,"The firm says it plans to build up to 15 of the mini reactors, which can be delivered by a lorry.",https://www.bbc.co.uk/news/business-51233444,"(2020, 1, 24)","(9, 1, 52)","Fri, 24 Jan 2020 09:01:52 GMT",dd93704b2ef4e69e178949aefcd9f71e
78,Bosses set out immigration priorities after Brexit. Industry groups band together to call for flexibility for skilled workers to enter the UK.,BBC News - UK,Bosses set out immigration priorities after Brexit,Industry groups band together to call for flexibility for skilled workers to enter the UK.,https://www.bbc.co.uk/news/business-51226954,"(2020, 1, 24)","(0, 12, 19)","Fri, 24 Jan 2020 00:12:19 GMT",3e474edbb9bbb94d2a921c91865f9a6d
79,East Kent hospitals: Care watchdog inspects trust after baby death apology. The care watchdog carried out an unannounced inspection after concerns about preventable baby deaths.,BBC News - UK,East Kent hospitals: Care watchdog inspects trust after baby death apology,The care watchdog carried out an unannounced inspection after concerns about preventable baby deaths.,https://www.bbc.co.uk/news/health-51231334,"(2020, 1, 24)","(3, 52, 32)","Fri, 24 Jan 2020 03:52:32 GMT",1fc978106dd3eece101c5469e960a41f
80,Barbara Keeley MP had treatment for breast cancer months before election. Barbara Keeley reveals she had radiotherapy for breast cancer four months before the general election.,BBC News - UK,Barbara Keeley MP had treatment for breast cancer months before election,Barbara Keeley reveals she had radiotherapy for breast cancer four months before the general election.,https://www.bbc.co.uk/news/uk-england-manchester-51233723,"(2020, 1, 24)","(9, 48, 23)","Fri, 24 Jan 2020 09:48:23 GMT",20db8ca8cbeae2bbc47ef6f7f8245494
81,"Boris Johnson backs Gwynedd slate landscape Unesco bid. The prime minister supports the nomination, saying the area around Gwynedd is ""breathtaking"".",BBC News - UK,Boris Johnson backs Gwynedd slate landscape Unesco bid,"The prime minister supports the nomination, saying the area around Gwynedd is ""breathtaking"".",https://www.bbc.co.uk/news/uk-wales-51225094,"(2020, 1, 24)","(0, 57, 52)","Fri, 24 Jan 2020 00:57:52 GMT",a59feacb8c7492395fa116b3d906f0a8
82,"Skye, Uist and Harris to get additional CalMac sailings. The services involve Skye, North Uist and Harris and will be introduced in March and the summer.",BBC News - UK,"Skye, Uist and Harris to get additional CalMac sailings","The services involve Skye, North Uist and Harris and will be introduced in March and the summer.",https://www.bbc.co.uk/news/uk-scotland-highlands-islands-51221481,"(2020, 1, 24)","(1, 5, 51)","Fri, 24 Jan 2020 01:05:51 GMT",a09620124d40e2b2656fdd797d3f2544
83,"Pedestrian, 90, killed in Charmouth 'hit-and-run' crash. Police arrest a man in his 40s following the death in Charmouth on Thursday evening.",BBC News - UK,"Pedestrian, 90, killed in Charmouth 'hit-and-run' crash",Police arrest a man in his 40s following the death in Charmouth on Thursday evening.,https://www.bbc.co.uk/news/uk-england-dorset-51233014,"(2020, 1, 24)","(7, 5, 37)","Fri, 24 Jan 2020 07:05:37 GMT",3375e5aceb561f49fcd8c856871bed73
84,How Top Gear overcame its 'problem phase'. How the BBC Two motoring show turned its fortunes around after a turbulent few years.,BBC News - UK,How Top Gear overcame its 'problem phase',How the BBC Two motoring show turned its fortunes around after a turbulent few years.,https://www.bbc.co.uk/news/entertainment-arts-51137358,"(2020, 1, 24)","(0, 52, 9)","Fri, 24 Jan 2020 00:52:09 GMT",05f038fcdf6d08b4427e95c25fe0206a
85,"Coronavirus: British artist given all clear after China return. Michael Hope developed ""a nasty cough"" on returning to Newcastle from Wuhan where he worked.",BBC News - UK,Coronavirus: British artist given all clear after China return,"Michael Hope developed ""a nasty cough"" on returning to Newcastle from Wuhan where he worked.",https://www.bbc.co.uk/news/uk-england-51233915,"(2020, 1, 24)","(9, 37, 47)","Fri, 24 Jan 2020 09:37:47 GMT",b12d7413ddbf62968a3479b39f1fb4b7
87,"No time off for grieving: 'Inside I was screaming'. Bereavement leave for parents came too late for Ian Bainbridge, whose son was stillborn five years ago.",BBC News - UK,No time off for grieving: 'Inside I was screaming',"Bereavement leave for parents came too late for Ian Bainbridge, whose son was stillborn five years ago.",https://www.bbc.co.uk/news/business-51204068,"(2020, 1, 23)","(22, 52, 17)","Thu, 23 Jan 2020 22:52:17 GMT",d2d3e762a45d924bab93ff684160cf98
88,"Stockton earthquake: How many quakes happen in the UK?. A minor earthquake has hit Teesside, but how serious can such events be?",BBC News - UK,Stockton earthquake: How many quakes happen in the UK?,"A minor earthquake has hit Teesside, but how serious can such events be?",https://www.bbc.co.uk/news/explainers-51221404,"(2020, 1, 23)","(13, 2, 53)","Thu, 23 Jan 2020 13:02:53 GMT",9cd65ac0903abbb5c062f544ad862efd
89,The Glenelg couple cleaning up after Storm Brendan. Trish Brewster and Yan Balewicz have spent five days so far removing rubbish from their local beach.,BBC News - UK,The Glenelg couple cleaning up after Storm Brendan,Trish Brewster and Yan Balewicz have spent five days so far removing rubbish from their local beach.,https://www.bbc.co.uk/news/uk-scotland-highlands-islands-51206454,"(2020, 1, 23)","(0, 27, 48)","Thu, 23 Jan 2020 00:27:48 GMT",b4a586cc4c2a421c62071114efafb215
93,Trevor Phillips: 'Insane reasons' for stabbings. Knife crime is driven by glorifying gang culture the former head of the Commission for Racial Equality says.,BBC News - UK,Trevor Phillips: 'Insane reasons' for stabbings,Knife crime is driven by glorifying gang culture the former head of the Commission for Racial Equality says.,https://www.bbc.co.uk/news/uk-politics-51231623,"(2020, 1, 24)","(1, 38, 20)","Fri, 24 Jan 2020 01:38:20 GMT",5a124d494d2512730c9c98ec9cf05642
95,Jack's Law: ‘His little life is going to help thousands of people’. Lucy Herd successfully campaigned for parents to get paid bereavement leave after her son Jack died.,BBC News - UK,Jack's Law: ‘His little life is going to help thousands of people’,Lucy Herd successfully campaigned for parents to get paid bereavement leave after her son Jack died.,https://www.bbc.co.uk/news/business-51224044,"(2020, 1, 23)","(12, 17, 24)","Thu, 23 Jan 2020 12:17:24 GMT",71a58ce23533236a88836bcf7cf47c00
96,Nazanin Zaghari-Ratcliffe: Husband pushed PM to be brave with Iran. Nazanin Zaghari-Ratcliffe's husband has met with the prime minister this morning regarding his detained wife.,BBC News - UK,Nazanin Zaghari-Ratcliffe: Husband pushed PM to be brave with Iran,Nazanin Zaghari-Ratcliffe's husband has met with the prime minister this morning regarding his detained wife.,https://www.bbc.co.uk/news/uk-51223916,"(2020, 1, 23)","(15, 11, 53)","Thu, 23 Jan 2020 15:11:53 GMT",299f1c75c7c4b4fc9577541945183e73
97,The Papers: Tests for 'killer virus' in Britain and HS2 report. Many of Friday's newspapers focus on fears that coronavirus has spread from China to the UK.,BBC News - UK,The Papers: Tests for 'killer virus' in Britain and HS2 report,Many of Friday's newspapers focus on fears that coronavirus has spread from China to the UK.,https://www.bbc.co.uk/news/blogs-the-papers-51230904,"(2020, 1, 24)","(5, 52, 6)","Fri, 24 Jan 2020 05:52:06 GMT",cbd081bb37786e9e121b792c02f50b44
